section_id,subject_code,group_count
BS 1ST SEM,COG-101-V,1
BS 1ST SEM,COG-103-V,1
BS 1ST SEM,COG-105-V,1
BS 1ST SEM,COG-121-V,1
BS 1ST SEM,COG-131-V,1
BS 1ST SEM,COG-143-V ( Theory ),1
BS 1ST SEM,COG-143-V (Lab ),2
BS 1ST SEM,AEC-110-V,1
BS 1ST SEM,VAC-110-V,1
BS 3RD SEM,COG-201-V,1
BS 3RD SEM,COG-203-V,1
BS 3RD SEM,COG-205-V,1
BS 3RD SEM,COG-213-V,1
BS 3RD SEM,COG-229-V,1
BS 3RD SEM,COG-243-V (Theory),1
BS 3RD SEM,COG-243-V (Lab),2
BS 3RD SEM,AEC-113-V,1
BS 5TH SEM,COG-301-V,1
BS 5TH SEM,COG-303-V,1
BS 5TH SEM,COG-305-V,1
BS 5TH SEM,COG-315-V,1
