section_id,subject_code,Teacher_id,is_shared_lab,second_teacher_id
BS 1ST SEM,COG-101-V,BS03,,
BS 1ST SEM,COG-103-V,BS01,,
BS 1ST SEM,COG-105-V,BS04,,
BS 1ST SEM,COG-121-V,BS04,,
BS 1ST SEM,COG-131-V,BS01,,
BS 1ST SEM,COG-143-V ( Theory ),BS06,,
BS 1ST SEM,COG-143-V (Lab ),BS06,no,
BS 1ST SEM,AEC-110-V,BS06,,
BS 1ST SEM,VAC-110-V,BS03,,
BS 3RD SEM,COG-201-V,BS03,,
BS 3RD SEM,COG-203-V,BS04,,
BS 3RD SEM,COG-205-V,BS02,,
BS 3RD SEM,COG-213-V,BS01,,
BS 3RD SEM,COG-229-V,BS01,,
BS 3RD SEM,COG-243-V (Theory),BS06,,
BS 3RD SEM,COG-243-V (Lab),BS06,no,
BS 3RD SEM,AEC-113-V,BS02,,
BS 5TH SEM,COG-301-V,BS02,,
BS 5TH SEM,COG-303-V,BS02,,
BS 5TH SEM,COG-305-V,BS04,,
BS 5TH SEM,COG-315-V,BS03,,
