department_code,subject_number,subject_name,room_required,required_lab_category,specific_equipment/software_lab,classes_per_week,max_numb_students,duration
CHE,CH-101 B,Inorganic Chemistry (General-I),LECTURE HALL,,,4,,1
CHE,CH-102 B,Organic Chemistry (General-I),LECTURE HALL,,,4,,1
CHE,CH-103 B,Physical Chemistry (General-I),LECTURE HALL,,,4,,1
,,,,,,,,
CHE,CH-104 X-B,Mathematics for Chemists,LECTURE HALL,,,3,,1
CHE,CH-104 Y-B,Chemistry of life processes,LECTURE HALL,,,3,,1
CHE,CH-105 B-CH-106 B(1),Inorganic Chemistry Lab-I-Organic Chemistry Lab-1,LAB,INORGANIC CHEMISTRY LAB;ORGANIC CHEMISTRY LAB,,1,,3
CHE,CH-107 B-CH-105 B(2),Physical Chemistry Lab-I-Inorganic Chemistry Lab-I,LAB,PHYSICAL CHEMISTRY LAB;INORGANIC CHEMISTRY LAB,,1,,3
CHE,CH-107 B-CH-105 B(3),Physical Chemistry Lab-I-Inorganic Chemistry Lab-I,LAB,PHYSICAL CHEMISTRY LAB;INORGANIC CHEMISTRY LAB,,1,,3
CHE,CH-106 B-CH-107 B(4),Organic Chemistry Lab-1;Physical Chemistry Lab-I,LAB,ORGANIC CHEMISTRY LAB;PHYSICAL CHEMISTRY LAB,,1,,3
CHE,CH-106 B-CH-107 B(5),Organic Chemistry Lab-1;Physical Chemistry Lab-I,LAB,ORGANIC CHEMISTRY LAB;PHYSICAL CHEMISTRY LAB,,1,,3
CHE,CH-105 B-CH-106 B(6),Inorganic Chemistry Lab-I-Organic Chemistry Lab-1,LAB,INORGANIC CHEMISTRY LAB;ORGANIC CHEMISTRY LAB,,1,,3
,,,,,,,,
CHE,CH-301 B,"Spectroscopic methods 
  in Chemistry",LECTURE HALL,,,4,,1
CHE,CH-302 B,Advanced Spectroscopy,LECTURE HALL,,,4,,1
CHE,CH-303 B,"Instrumental Methods 
 of Analysis",LECTURE HALL,,,3,,1
CHE,CH-304 B(1),IAL(G1)-IAL(G2),LAB,PHYSICAL CHEMISTRY LAB;ORGANIC CHEMISTRY LAB,,1,,3
CHE,CH-304 B(2),IAL(G2)-IAL(G1),LAB,PHYSICAL CHEMISTRY LAB;ORGANIC CHEMISTRY LAB,,1,,3
CHE,CH-305B,"Inorganic Chemistry 
 Special-I",LECTURE HALL,,,4,,1
CHE,CH-315B,"Organic Chemistry 
 Special-I",LECTURE HALL,,,4,,1
CHE,"CH-325B
 ","Physical Chemistry 
 Special-I",LECTURE HALL,,,4,,1
CHE,"CH-306B-CH-326B-CH-316B(I)
","Inorganic Chemistry  Lab
 Special-I/Physical Chemistry  Lab
 Special-I/Organic Chemistry  Lab
 Special-I*",LAB,INORGANIC CHEMISTRY LAB;PHYSICAL CHEMISTRY LAB;ORGANIC CHEMISTRY LAB,,1,,3
CHE,CH-306B-CH-326B-CH-316B(II),"Inorganic Chemistry  Lab
 Special-I/Physical Chemistry  Lab
 Special-I/Organic Chemistry  Lab
 Special-I*",LAB,INORGANIC CHEMISTRY LAB;PHYSICAL CHEMISTRY LAB;ORGANIC CHEMISTRY LAB,,1,,3
CHE,OES 301B,Waste Management in daily life,LECTURE HALL,,,3,,1
