section_id,subject_code,group_count,elective_Section_id
BACMTI,JMU-101-V,1,
BACMTI,JMU-103-V,1,
BACMTI,JMU-105-V,1,
BACMTI,JMU-107-V,1,
BACMTI,VAC-102-V,1,
BACMTI,AEC-105-V-1,1,
BACMTI,AEC-107-V,1,
BACMTI,JMU-109-V,1,
BACMTI,ESU-201-V-2,1,
BACMTIII,JMU-201-V,1,
BACMTIII,JMU-203-V,1,
BACMTIII,JMU-205-V,1,
BACMTIII,JMU-207-V,1,
BACMTIII,JMU-209-V-1,1,
BACMTIII,AEC- 201- V,1,
BACMTIII,JMU-211-V,1,
BACMTV,BA JMC 501-23,1,
BACMTV,BA JMC 502-23,1,
BACMTV,BA JMC 503-23,1,
BACMTV,BA JMC 504-23,1,
BACMTV,BA JMC 505-23,1,
BACMTVII,BA JMC 701-23,1,
BACMTVII,BA JMC 702-23,1,
BACMTVII,BA JMC 703-23,1,
BACMTVII,BA JMC 704-23,1,
BACMTVII,BA JMC 705-23,1,
BACMTVII,BA JMC 706-23,1,
MACMTI,"MA JMC 26-
 101",1,
MACMTI,"MA JMC 26-
 103",1,
MACMTI,"MA JMC 26-
 105",1,
MACMTI,"MA JMC 26-
 107",1,
MACMTI,"MA JMC 26-
 109",1,
MACMTI,DSE,1,
MACMTIII,JMC-301- 21,1,
MACMTIII,JMC-302- 21,1,
MACMTIII,JMC-303- 21,1,
MACMTIII,JMC-304- 21,1,
MACMTIII,JMC-305- 21,1,
MACMTIII,JMC-306- 21,1,
MACMTIII,JMC-307-21,1,
MACMTIII,OEC,1,
MACMTIII NEP,"MAJMC 26-
 201",1,
MACMTIII NEP,"MAJMC 26-
 203",1,
MACMTIII NEP,"MAJMC 26-
 205",1,
MACMTIII NEP,MA JMC 26- 207A/B/C/D,1,
MACMTIII NEP,MA JMC 26- 209A/B/C/D,1,
MACMTIII NEP,MA JMC 26- 211A/B/C/D,1,
MACMTIII NEP,MA JMC 26- 213A/B/C/D,1,
BSCCMTI,VCU-101-V,1,
BSCCMTI,VCU 103-V,1,
BSCCMTI,VCU-105-V,1,
BSCCMTI,VCU-107-V,1,
BSCCMTI,JMU-209-V,1,
BSCCMTI,AEC-105-V-2,1,
BSCCMTI,VCU-109-V,1,
BSCCMTI,ESU-201-V-1,1,
BSCCMTIII,VCU-201-V,1,
BSCCMTIII,VCU-203-V,1,
BSCCMTIII,VCU-205-V,1,
BSCCMTIII,VCU-207-V,1,
BSCCMTIII,JMU-108-V,1,
BSCCMTIII,AEC- 103- V,1,
BSCCMTIII,VCU-211-V,1,
BSCCMTV,"B.Sc. VCMT
 501-23",1,
BSCCMTV,"B.Sc. VCMT
 502-23",1,
BSCCMTV,B.Sc. VCMT 503-23,1,
BSCCMTV,"B.Sc. VCMT
 504-23",1,
BSCCMTV,"B.Sc. VCMT
 505-23",1,
BSCCMTVII,"B.Sc. VCMT
 701-23",1,
BSCCMTVII,"B.Sc. VCMT
 702-23",1,
BSCCMTVII,"B.Sc.
 VCMT 703-23",1,
BSCCMTVII,B.Sc. VCMT 704-23,1,
BSCCMTVII,"B.Sc.
 VCMT 705-23",1,
BSCCMTVII,"B.Sc. VCMT
 706-23",1,
BSWCMT(ISem),SWU-101-V,1,
BSWCMT(ISem),SWU-103-V,1,
BSWCMT(ISem),SWU-105-V,1,
BSWCMT(ISem),SWU-107-V,1,
BSWCMT(ISem),BCG-101-V,1,
BSWCMT(ISem),AEC-105-V-3,1,BSCCMTI
BSWCMT(ISem),SWU-109-V,1,
BSWCMT(ISem),ESU-201-V-3,1,
BSWCMT(IIISem),SWU-201-V,1,
BSWCMT(IIISem),SWU-203-V,1,
BSWCMT(IIISem),SWU-205-V,1,
BSWCMT(IIISem),SWU-207-V,1,
BSWCMT(IIISem),OSP-201-V,1,
BSWCMT(IIISem),AEC-107-V,1,
BSWCMT(IIISem),SWU-209-V,1,
BSWCMT(VSem),BSW-501-23,1,
BSWCMT(VSem),BSW-502-23,1,
BSWCMT(VSem),BSW-503-23,1,
BSWCMT(VSem),BSW-504-23,1,
BSWCMT(VSem),BSW-505-23,1,
BSWCMT(VIISem),BSW-701-23,1,
BSWCMT(VIISem),BSW-702-23,1,
BSWCMT(VIISem),BSW-703-23,1,
BSWCMT(VIISem),BSW-704-23,1,
BSWCMT(VIISem),BSW-705-23,1,
BSWCMT(VIISem),BSW-706-23,1,
MSWCMT(ISem),SWP-101-V,1,
MSWCMT(ISem),SWP-103-V,1,
MSWCMT(ISem),SWP-105-V,1,
MSWCMT(ISem),SWP-107-V,1,
MSWCMT(ISem),SWP-109-V,1,
MSWCMT(ISem),SWP-111-V,1,
MSWCMT(IIISem),SWP-201-V,1,
MSWCMT(IIISem),SWP-203-V,1,
MSWCMT(IIISem),SWP-205-V,1,
MSWCMT(IIISem),SWP-207-V,1,
MSWCMT(IIISem),SWP-211-V,1,
MSWCMT(IIISem),SWP-213-V,1,
