section_id,subject_code,Teacher_id,is_shared_lab,second_teacher_id
BACMTI,JMU-101-V,CMT03,,
BACMTI,JMU-103-V,CMT02,,
BACMTI,JMU-105-V,CMT05,,
BACMTI,JMU-107-V,CMT11,,
BACMTI,AEC-105-V-1,CMT16,,
BACMTI,AEC-107- V,CMT17,,
BACMTI,JMU-109-V,CMT20,,
BACMTI,ESU-201-V-2,ES05,,
BACMTIII,JMU-201-V,CMT11,,
BACMTIII,JMU-203-V,CMT03,,
BACMTIII,JMU-205-V,CMT12,,
BACMTIII,JMU-207-V,CMT16,,
BACMTIII,JMU-209-V-1,CMT20,,
BACMTIII,AEC- 201- V,CMT17,,
BACMTIII,JMU-211-V,CMT02,,
BACMTV,BA JMC 501-23,CMT03,,
BACMTV,BA JMC 502-23,CMT12,,
BACMTV,BA JMC 503-23,CMT02,,
BACMTV,BA JMC 504-23,CMT13,,
BACMTV,BA JMC 505-23,CMT14,,
BACMTVII,BA JMC 701-23,CMT05,,
BACMTVII,BA JMC 702-23,CMT09,,
BACMTVII,BA JMC 703-23,CMT09,,
BACMTVII,BA JMC 704-23,CMT12,,
BACMTVII,BA JMC 705-23,CMT13,,
BACMTVII,BA JMC 706-23,CMT14,,
MACMTI,"MA JMC 26-
 101",CMT01,,
MACMTI,"MA JMC 26-
 103",CMT03,,
MACMTI,"MA JMC 26-
 105",CMT05,,
MACMTI,"MA JMC 26-
 107",CMT10,,
MACMTI,"MA JMC 26-
 109",CMT12,,
MACMTI,DSE,CMT13,,
MACMTIII,JMC-301- 21,CMT10,,
MACMTIII,JMC-302- 21,CMT13,,
MACMTIII,JMC-303- 21,CMT01,,
MACMTIII,JMC-304- 21,CMT02,,
MACMTIII,JMC-305- 21,CMT02,,
MACMTIII,JMC-306- 21,CMT14,,
MACMTIII,JMC-307-21,CMT16,,
MACMTIII,OEC,ES05,,
MACMTIII NEP,"MAJMC 26-
 201",CMT14,,
MACMTIII NEP,"MAJMC 26-
 203",CMT05,,
MACMTIII NEP,"MAJMC 26-
 205",CMT01,,
MACMTIII NEP,MA JMC 26- 207A/B/C/D,CMT16,,
MACMTIII NEP,MA JMC 26- 209A/B/C/D,CMT17,,
MACMTIII NEP,MA JMC 26- 211A/B/C/D,CMT03,,
MACMTIII NEP,MA JMC 26- 213A/B/C/D,CMT05,,
BSCCMTI,VCU-101-V,CMT15,,
BSCCMTI,VCU 103-V,CMT06,,
BSCCMTI,VCU-105-V,CMT17,,
BSCCMTI,VCU-107-V,CMT18,,
BSCCMTI,JMU-209-V,CMT20,,
BSCCMTI,AEC-105-V-2,CMT20,,
BSCCMTI,VCU-109-V,CMT06,,
BSCCMTI,ESU-201-V-1,CMT18,,
BSCCMTIII,VCU-201-V,CMT06,,
BSCCMTIII,VCU-203-V,CMT15,,
BSCCMTIII,VCU-205-V,CMT18,,
BSCCMTIII,VCU-207-V,CMT07,,
BSCCMTIII,JMU-108-V,CMT19,,
BSCCMTIII,AEC- 103- V,CMT20,,
BSCCMTIII,VCU-211-V,CMT07,,
BSCCMTV,"B.Sc. VCMT
 501-23",CMT07,,
BSCCMTV,"B.Sc. VCMT
 502-23",CMT15,,
BSCCMTV,B.Sc. VCMT 503-23,CMT18,,
BSCCMTV,"B.Sc. VCMT
 504-23",CMT06,,
BSCCMTV,"B.Sc. VCMT
 505-23",CMT19,,
BSCCMTVII,"B.Sc. VCMT
 701-23",CMT15,,
BSCCMTVII,"B.Sc. VCMT
 702-23",CMT06,,
BSCCMTVII,"B.Sc.
 VCMT 703-23",CMT07,,
BSCCMTVII,B.Sc. VCMT 704-23,CMT07,,
BSCCMTVII,"B.Sc.
 VCMT 705-23",CMT19,,
BSCCMTVII,"B.Sc. VCMT
 706-23",CMT19,,
BSWCMT(ISem),SWU-101-V,CMT21,,
BSWCMT(ISem),SWU-103-V,CMT21,,
BSWCMT(ISem),SWU-105-V,CMT22,,
BSWCMT(ISem),SWU-107-V,CMT22,,
BSWCMT(ISem),BCG-101-V,CMT23,,
BSWCMT(ISem),AEC-105-V-3,CMT23,,
BSWCMT(ISem),SWU-109-V,CMT04,,
BSWCMT(ISem),ESU-201-V-3,ES05,,
BSWCMT(IIISem),SWU-201-V,CMT08,,
BSWCMT(IIISem),SWU-203-V,CMT04,,
BSWCMT(IIISem),SWU-205-V,CMT21,,
BSWCMT(IIISem),SWU-207-V,CMT21,,
BSWCMT(IIISem),OSP-201-V,ES05,,
BSWCMT(IIISem),AEC-107-V,CMT04,,
BSWCMT(IIISem),SWU-209-V,CMT22,,
BSWCMT(VSem),BSW-501-23,CMT04,,
BSWCMT(VSem),BSW-502-23,CMT08,,
BSWCMT(VSem),BSW-503-23,CMT22,,
BSWCMT(VSem),BSW-504-23,CMT23,,
BSWCMT(VSem),BSW-505-23,CMT04,,
BSWCMT(VIISem),BSW-701-23,CMT08,,
BSWCMT(VIISem),BSW-702-23,CMT23,,
BSWCMT(VIISem),BSW-703-23,CMT23,,
BSWCMT(VIISem),BSW-704-23,CMT24,,
BSWCMT(VIISem),BSW-705-23,CMT24,,
BSWCMT(VIISem),BSW-706-23,CMT25,,
MSWCMT(ISem),SWP-101-V,CMT08,,
MSWCMT(ISem),SWP-103-V,CMT24,,
MSWCMT(ISem),SWP-105-V,CMT25,,
MSWCMT(ISem),SWP-107-V,CMT04,,
MSWCMT(ISem),SWP-109-V,CMT04,,
MSWCMT(ISem),SWP-111-V,CMT08,,
MSWCMT(IIISem),SWP-201-V,CMT04,,
MSWCMT(IIISem),SWP-203-V,CMT24,,
MSWCMT(IIISem),SWP-205-V,CMT25,,
MSWCMT(IIISem),SWP-207-V,CMT25,,
MSWCMT(IIISem),SWP-211-V,CMT04,,
MSWCMT(IIISem),SWP-213-V,CMT04,,
BACMTI,VAC-102-V,CMT22,,
