room_number,department_code,room_seating_capacity,room_type,lab_category
CSA-302,CSA,70,LECTURE HALL,
CSA-303,CSA,70,LECTURE HALL,
CSA-304,CSA,70,LECTURE HALL,
CSA-306,CSA,70,LECTURE HALL,
CSA-307,CSA,70,LECTURE HALL,
LT04,CSA,70,LECTURE HALL,
IT05,CSA,70,LECTURE HALL,
CC03,CSA,35,LAB,Computer Lab
CC04,CSA,35,LAB,Computer Lab
CT-05,CSA,40,LECTURE HALL,
CT-06,CSA,40,LECTURE HALL,
CT-02,CSA,80,LECTURE HALL,
Animation Lab,CSA,49,LAB,Animation Lab
3D VFX Lab,CSA,40,LAB,3D VFX Lab
bca_seminar,CSA,40,SEMINAR,
