section_id,subject_code,group_count,elective_section_id
BCA 1st,CC101,1,
BCA 1st,SEC101,1,
BCA 1st,SECLAB101,2,
BCA 1st,CC102,1,
BCA 1st,CCLAB102,2,
BCA 1st,MDE101,1,
BCA 1st,AEC101,1,
BCA 1st,VAC101,1,
BCA 1st,AEC102,1,
BCA-DS-1st,CC101,1,
BCA-DS-1st,SEC101,1,
BCA-DS-1st,SECLAB101,2,
BCA-DS-1st,CC102,1,
BCA-DS-1st,CCLAB102,2,
BCA-DS-1st,MDE101,1,
BCA-DS-1st,AEC101,1,
BCA-DS-1st,VAC101,1,
BCA-DS-1st,AEC102,1,
BCA 3rd,CC201,1,
BCA 3rd,CC202,1,
BCA 3rd,SEC201,1,
BCA 3rd,CC203,1,
BCA 3rd,CCLAB202,2,
BCA 3rd,SECLAB201,2,
BCA 3rd,DSE201,1,
BCA 3rd,DSELAB201,2,
BCA 3rd,VAC201,1,
BCA 5th,BCG-301-V,1,
BCA 5th,BCG-303-V,1,
BCA 5th,BCG-305-V,1,
BCA 5th,BCG-321-V,1,
BCA 5th,BCG-307-V,1,
BCA 5th,BCG-309-V,2,
BCA 5th,BCG-311-V,2,
BCA 7th,BCG-401-V,1,
BCA 7th,BCG-403-V,1,
BCA 7th,BCG-405-V,1,
BCA 7th,BCG-407-V,1,
BCA 7th,BCG-425-V,1,
BCA 7th,BCG-409-V,2,
BCA 7th,BCG-411-V,2,
BCA 7th,BCA-23-415,1,
MCA 1st,DSC101,1,
MCA 1st,DSC102,1,
MCA 1st,DSC103,1,
MCA 1st,DSE104,1,
MCA 1st,DSE105,2,
MCA 1st,DSC106,2,
MCA 1st,DSC107,2,
MCA 1st,DSC108,1,
MCA 3rd,MCA-201-V,1,
MCA 3rd,MCA-203-V,1,
MCA 3rd,MCA-205-V,1,
MCA 3rd,MCA-224-V,1,
MCA 3rd,MCA-232-V,2,
MCA 3rd,MCA-207-V,2,
MCA 3rd,MCA-209-V,2,
MCA 3rd,MCA-211-V,1,
MCA 3rd,MCA-215-V,1,
BSC AM 1ST SEM,AMU-101-V,1,
BSC AM 1ST SEM,AMU-103-V,1,
BSC AM 1ST SEM,AMU-105-V,1,
BSC AM 1ST SEM,OSU-123-V,1,
BSC AM 1ST SEM,AEC-101-V,1,
BSC AM 1ST SEM,VAC-101-V,1,
BSC AM 1ST SEM,AMU-107-V,1,
BSC AM 1ST SEM,AMU-109-V,1,
BSC AM 1ST SEM,AMU-111-V,1,
BSC AM 1ST SEM,AMU-201-V,1,
BSC AM 3rd SEM,AMU-203-V,1,
BSC AM 3rd SEM,AMU-205-V,1,
BSC AM 3rd SEM,AEC-102-V,1,
BSC AM 3rd SEM,VAC-201-V,1,
BSC AM 3rd SEM,AMU-207-V,1,
BSC AM 3rd SEM,AMU-209-V,1,
BSC AM 3rd SEM,AMU-213-V,1,
BSC AM 3rd SEM,AMU-211-V,1,
BSC AM 5th SEM,AMU-301-V,1,
BSC AM 5th SEM,AMU-303-V,1,
BSC AM 5th SEM,AMU-305-V,1,
BSC AM 5th SEM,AMU-307-V,1,
BSC AM 5th SEM,AMU-309-V,1,
BSC AM 5th SEM,AMU-311-V,1,
BSC AM 5th SEM,AMU-313-V,1,
BSC AM 5th SEM,AMU-315-V,1,
BSC AM 7th SEM,AMU-401-V,1,
BSC AM 7th SEM,AMU-403-V,1,
BSC AM 7th SEM,BGC-425-V,1,
BSC AM 7th SEM,AMU-405-V,1,
BSC AM 7th SEM,AMU-407-V,1,
BSC AM 7th SEM,AMU-409-V,1,
BSC AM 7th SEM,AMU-411-V,1,
BSC AM 7th SEM,AMU-413-V,1,
BSC AM 7th SEM,BGC-435-V,1,
MSC AM 1ST SEM,MSC-AM-26-101,1,
MSC AM 1ST SEM,MSC-AM-26-102,1,
MSC AM 1ST SEM,MSC-AM-26-103,1,
MSC AM 1ST SEM,MSC-AM-26-106-A,1,
MSC AM 1ST SEM,MSC-AM-10-108-A,1,
MSC AM 1ST SEM,MSC-AM-26-107-D,1,
MSC AM 1ST SEM,MSC-AM-26-109-D,1,
MSC AM 1ST SEM,MSC-AM-26-104,1,
MSC AM 1ST SEM,MSC-AM-26-105,1,
MSC AM 3rd SEM,AMP-213-V,1,
MSC AM 3rd SEM,AMP-223-V,1,
MSC AM 3rd SEM,AEC-315-V,1,
