section_id,program_name,department_code,section_strength
BCA 1st,Bechleor of Computer Applications ,CSA,65
BCA-DS-1st,Bechleor of Computer Applications with specialization in Data Science,CSA,65
BCA 3rd,Bechleor of Computer Applications ,CSA,69
BCA 5th,Bechleor of Computer Applications ,CSA,70
BCA 7th,Bechleor of Computer Applications ,CSA,15
MCA 1st,Master of Computer Applications ,CSA,65
MCA 3rd,Master of Computer Applications,CSA,66
BSC AM 1ST SEM,B.Sc. Animation and Multimedia,CSA,42
BSC AM 3rd SEM,B.Sc. Animation and Multimedia,CSA,42
BSC AM 5th SEM,B.Sc. Animation and Multimedia,CSA,38
BSC AM 7th SEM,B.Sc. Animation and Multimedia,CSA,38
MSC AM 1ST SEM,M.Sc. Animation and Multimedia,CSA,20
MSC AM 3rd SEM,M.Sc. Animation and Multimedia,CSA,8
