section_id,subject_code,Teacher_id,is_shared_lab,second_teacher_id,
BCA 1st,CC101,CSA22,no,,Mathematics Foundations to Computer Science - I
BCA 1st,SEC101,CSA22,no,,Problem Solving Techniques
BCA 1st,SECLAB101,CSA02,no,,Problem Solving Techniques-Lab
BCA 1st,CC102,CSA10,no,,Computer Architecture
BCA 1st,CCLAB102,CSA19,no,,Computer Architecture-Lab
BCA 1st,MDE101,CSE47,no,,Indian Knowledge System
BCA 1st,AEC101,CSA08,no,,General English - I
BCA 1st,VAC101,ES10,no,,Environmental Science and sustainability
BCA 1st,AEC102,CSA28,no,,German-1
BCA-DS-1st,CC101,CSA22,no,,Mathematics Foundations to Computer Science - I
BCA-DS-1st,SEC101,CSA22,no,,Problem Solving Techniques
BCA-DS-1st,SECLAB101,CSA21,no,,Problem Solving Techniques-Lab
BCA-DS-1st,CC102,CSA10,no,,Computer Architecture
BCA-DS-1st,CCLAB102,CSA10,no,,Computer Architecture-Lab
BCA-DS-1st,MDE101,CSE47,no,,Indian Knowledge System
BCA-DS-1st,AEC101,CSA08,no,,General English - I
BCA-DS-1st,VAC101,ES10,no,,Environmental Science and sustainability
BCA-DS-1st,AEC102,CSA28,no,,German-1
BCA 3rd,CC201,MATH15,no,,Probability and Statistics
BCA 3rd,CC202,CSA10,no,,Data Base Management System
BCA 3rd,SEC201,CSA04,no,,Python Programming
BCA 3rd,CC203,CSA09,no,,Software Engineering
BCA 3rd,CCLAB202,CSA20,yes,CSA24,Data Base Management System -Lab
BCA 3rd,SECLAB201,CSA04,no,,Python Programming-Lab
BCA 3rd,DSE201,CSA09,no,,Professional-Elective-I(Feature Engineering)
BCA 3rd,DSELAB201,CSA09,no,,Professional-Elective-I(Lab)(Feature Engineering)
BCA 3rd,VAC201,CCSD22,no,,"Yoga/ Sports, NCC/ NSS/ Disaster Management"
BCA 5th,BCG-301-V,CSA05,no,,JAVA Programming
BCA 5th,BCG-303-V,CSA06,no,,Software Engineering
BCA 5th,BCG-305-V,CSA07,no,,Analysis of Design and Algorithms
BCA 5th,BCG-321-V,CSA02,no,,Elective -I(Machine Learning-1)
BCA 5th,BCG-307-V,EE25,no,,Speech and Audio Processing
BCA 5th,BCG-309-V,CSA21,no,,Java Lab
BCA 5th,BCG-311-V,CSA07,no,,Analysis of Design and Algorithms Lab
BCA 7th,BCG-401-V,CSE09,no,,Research Methodology
BCA 7th,BCG-403-V,CSA23,no,,BIG DATA II
BCA 7th,BCG-405-V,CSA04,no,,Cloud Computing
BCA 7th,BCG-407-V,CSA23,no,,Information Security and Cyber Law
BCA 7th,BCG-425-V,CSA12,no,,Elective -III(Virtual Reality and Augmented Reality)
BCA 7th,BCG-409-V,CSA24,no,,IOT & Embedded System
BCA 7th,BCG-411-V,CSA19,yes,CSA04,BIG DATA II Lab
BCA 7th,BCA-23-415,CSA12,no,,Lab Based on Elective-III(Virtual Reality and Augmented Reality)
MCA 1st,DSC101,CSA01,no,,Data Structure
MCA 1st,DSC102,CSA06,no,,Computer Networks
MCA 1st,DSC103,CSA20,no,,Data Base MAnagement System
MCA 1st,DSE104,CSA05,no,,Elective–I(JAVA Programming)
MCA 1st,DSE105,CSA04,no,,Elective–II(Cloud Computing)
MCA 1st,DSC106,CSA01,no,,Data Structure-Lab
MCA 1st,DSC107,CSA23,no,,Data Base Management System-Lab
MCA 1st,DSC108,CSA05,no,,JAVA Programming -Lab
