department_code,subject_number,subject_name,room_required,required_lab_category,specific_equipment/software_lab,classes_per_week,duration,,,
CSA,CC101,Mathematics Foundations to Computer Science - I,LECTURE HALL,,,3,1,,,
CSA,SEC101,Problem Solving Techniques,LECTURE HALL,,,3,1,,,
CSA,SECLAB101,Problem Solving Techniques-Lab,LAB,Computer Lab,,1,4,,,
CSA,CC102,Computer Architecture,LECTURE HALL,,,3,1,,,
CSA,CCLAB102,Computer Architecture-Lab,LAB,Computer Lab,,1,4,,,
CSA,MDE101,Indian Knowledge System,LECTURE HALL,,,2,1,,,
CSA,AEC101,General English - I,LECTURE HALL,,,2,1,,,
CSA,VAC101,Environmental Science and sustainability,LECTURE HALL,,,2,1,,,
CSA,AEC102,German-1,LECTURE HALL,,,2,1,,,
CSA,CC101,Mathematics Foundations to Computer Science - I,LECTURE HALL,,,3,1,,,
CSA,SEC101,Problem Solving Techniques,LECTURE HALL,,,3,1,,,
CSA,SECLAB101,Problem Solving Techniques-Lab,LAB,Computer Lab,,1,4,,,
CSA,CC102,Computer Architecture,LECTURE HALL,,,3,1,,,
CSA,CCLAB102,Computer Architecture-Lab,LAB,Computer Lab,,1,4,,,
CSA,MDE101,Indian Knowledge System,LECTURE HALL,,,2,1,,,
CSA,AEC101,General English - I,LECTURE HALL,,,2,1,,,
CSA,VAC101,Environmental Science and sustainability,LECTURE HALL,,,2,1,,,
CSA,AEC102,German-1,LECTURE HALL,,,2,1,,,
CSA,CC201,Probability and Statistics,LECTURE HALL,,,3,1,,,
CSA,CC202,Data Base Management System,LECTURE HALL,,,3,1,,,
CSA,SEC201,Python Programming,LECTURE HALL,,,2,1,,,
CSA,CC203,Software Engineering,LECTURE HALL,,,3,1,,,
CSA,CCLAB202,Data Base Management System -Lab,LAB,Computer Lab,CC03*CC04,1,4,,,
CSA,SECLAB201,Python Programming-Lab,LAB,Computer Lab,,1,4,,,
CSA,DSE201,Professional-Elective-I(Feature Engineering),LECTURE HALL,,,2,1,,,
CSA,DSELAB201,Professional-Elective-I(Lab)(Feature Engineering),LAB,Computer Lab,,1,4,,,
CSA,VAC201,"Yoga/ Sports, NCC/ NSS/ Disaster Management",LECTURE HALL,,,4,1,,,
CSA,BCG-301-V,JAVA Programming,LECTURE HALL,,,3,1,,,
CSA,BCG-303-V,Software Engineering,LECTURE HALL,,,3,1,,,
CSA,BCG-305-V,Analysis of Design and Algorithms,LECTURE HALL,,,3,1,,,
CSA,BCG-321-V,Elective -I(Machine Learning-1),LECTURE HALL,,,3,1,,,
CSA,BCG-307-V,Speech and Audio Processing,LECTURE HALL,,,4,1,,,
CSA,BCG-309-V,Java Lab,LAB,Computer Lab,,1,2,,,
CSA,BCG-311-V,Analysis of Design and Algorithms Lab,LAB,Computer Lab,,1,2,,,
CSA,BCG-401-V,Research Methodology,LECTURE HALL,,,3,1,,,
CSA,BCG-403-V,BIG DATA II,LECTURE HALL,,,3,1,,,
CSA,BCG-405-V,Cloud Computing,LECTURE HALL,,,4,1,,,
CSA,BCG-407-V,Information Security and Cyber Law,LECTURE HALL,,,4,1,,,
CSA,BCG-425-V,Elective -III(Virtual Reality and Augmented Reality),LECTURE HALL,,,4,1,,,
CSA,BCG-409-V,Embedded System,LECTURE HALL,,,4,1,,,
CSA,BCG-411-V,BIG DATA II Lab,LAB,Computer Lab,CC03*CC04,1,2,,,
CSA,BCA-23-415,Lab Based on Elective-III(Virtual Reality and Augmented Reality),LAB,Computer Lab,,1,2,,,
CSA,DSC101,Data Structure,LECTURE HALL,,,4,1,,,
CSA,DSC102,Computer Networks,LECTURE HALL,,,4,1,,,
CSA,DSC103,Data Base Management System,LECTURE HALL,,,4,1,,,
CSA,DSE104,Elective–I(JAVA Programming),LECTURE HALL,,,4,1,,,
CSA,DSE105,Elective–II(Cloud Computing),LECTURE HALL,,,4,1,,,
CSA,DSC106,Data Structure-Lab,LAB,Computer Lab,,1,4,,,
CSA,DSC107,Data Base Management System,LAB,Computer Lab,CC03*CC04,1,4,,,
CSA,DSC108,JAVA Programming -Lab,LAB,Computer Lab,CC03*CC04,1,4,,,
CSA,MCA-201-V,Big Data,LECTURE HALL,,,4,1,,,
CSA,MCA-203-V,.Net Technology,LECTURE HALL,,,4,1,,,
CSA,MCA-205-V,Soft Computing,LECTURE HALL,,,4,1,,,
CSA,MCA-224-V,Data Warehousing & Data Mining,LECTURE HALL,,,4,1,,,
CSA,MCA-232-V,Network Security,LECTURE HALL,,,4,1,,,
CSA,MCA-207-V,Hadoop LAB,LAB,Computer Lab,CC03*CC04,1,4,,,
CSA,MCA-209-V,Dot Net programming using C# and / or VB. Net,LAB,Computer Lab,,1,4,,,
CSA,MCA-211-V,Soft Computing LAB,LAB,Computer Lab,,2,2,,,
CSA,MCA-215-V,Seminar,SEMINAR,,,2,2,,,
CSA,AMU-101-V,Visual Arts,LECTURE HALL,,,3,1,,,
CSA,AMU-103-V,Introduction to Film Making,LECTURE HALL,,,4,1,,,
CSA,AMU-105-V,Fundamentals of Information and Web Technology,LECTURE HALL,,,3,1,,,
CSA,OSU-123-V,Mathematics,LECTURE HALL,,,3,1,,,
CSA,AEC-101-V,Writing Skills and the Art of Rhetoric (WSAAR),LECTURE HALL,,,2,1,,,
CSA,VAC-101-V,Environment Studies-I,LECTURE HALL,,,2,1,,,
CSA,AMU-107-V,Graphics Design-I,LAB,Computer Lab,,2,3,,,
CSA,AMU-109-V,Visual Art Lab,LECTURE HALL,,,2,1,,,
CSA,AMU-111-V,Fundamentals of Information and Web Technology Lab,LAB,Computer Lab,,1,2,,,
CSA,AMU-201-V,Concept Designing,LECTURE HALL,,,3,1,,,
CSA,AMU-203-V,Java Programming,LECTURE HALL,,,3,1,,,
