section_id,subject_number,group_count,elective_section_id
MSCCHE I sem,CH-101 B,1,
MSCCHE I sem,CH-102 B,1,
MSCCHE I sem,CH-103 B,1,
MSCCHE I sem,CH-104 X-B,1,
MSCCHE I sem,CH-104 Y-B,1,
MSCCHE I sem,CH-105 B,1,
MSCCHE I sem,CH-106 B,1,
MSCCHE I sem,CH-107 B,1,
MSCCHE III sem.,CH-301 B,1,
MSCCHE III sem.,CH-302 B,1,
MSCCHE III sem.,CH-303 B,1,
MSCCHE III sem.,CH-304 B,1,
MSCCHE III sem.,CH-305B,1,
MSCCHE III sem.,CH-315B,1,
MSCCHE III sem.,CH-325B,1,
MSCCHE III sem.,CH-306B,1,
MSCCHE III sem.,CH-316B,1,
MSCCHE III sem.,CH-326B,1,
MSCCHE III sem.,OES 301B,1,
BSCCHE I sem.,CHU-101-V,1,
BSCCHE I sem.,CHU-103-V,1,
BSCCHE I sem.,CHU-105-V,1,
BSCCHE I sem.,CHU-107-V,1,
BSCCHE I sem.,OSU-115-V,1,
BSCCHE I sem.,JMU-101-V,1,
BSCCHE I sem.,AEC-101-V,1,
BSCCHE I sem.,CHU-109-V,1,
BSCCHE I sem.,CHU-111-V,1,
BSCCHE I sem.,VAC-101-V,1,
BSCCHE III sem.,CHU-201-V,1,
BSCCHE III sem.,CHU-203-V,1,
BSCCHE III sem.,CHU-205-V,1,
BSCCHE III sem.,CHU-207-V,1,
BSCCHE III sem.,CHU-209-V,1,
BSCCHE III sem.,MTU-211-V,1,
BSCCHE III sem.,AEC-103-V,1,
BSCCHE III sem.,CHU-211-V,1,
BSCCHE III sem.,VAC-108-V,1,
BSCCHE V sem.,CHU-301-V,1,
BSCCHE V sem.,CHU-302-V,1,
BSCCHE V sem.,CHU-303-V,1,
BSCCHE V sem.,CHU-304-V,1,
BSCCHE V sem.,PHU-317-V,1,
BSCCHE V sem.,PHU-319-V,1,
BSCCHE V sem.,CHU-311-V,1,
BSCCHE V sem.,CHU-312-V,1,
BSCCHE VII sem.,CHU-401-V,1,
BSCCHE VII sem.,CHU-403-V,1,
BSCCHE VII sem.,CHU-405-V,1,
BSCCHE VII sem.,CHU-407-V,1,
BSCCHE VII sem.,CHU-409-V,1,
BSCCHE VII sem.,CHU-411-V,1,
BSCCHE VII sem.,CHU-413-V,1,
BSCCHE VII sem.,CHU-415-V,1,
BSCCHE VII sem.,CHU-417-V,1,
