section_id,subject_code,Teacher_id,is_shared_lab,second_teacher_id,,
EL 1ST SEM,PHU-153-V,PHY16,,,,
EL 1ST SEM,MTU-143-V,MATH13,,,,
EL 1ST SEM,MTU-143-V (T),MATH13,,,,
EL 1ST SEM,MEU-103-V,MECH05;MECH08;MECH09,no,,,
EL 1ST SEM,CSU-101-V,CSE48,,,,
EL 1ST SEM,MEU-101-V,WS01,,,,
EL 1ST SEM,PHU-155-V,PHY16,,,,
EL 1ST SEM,CSU-103-V,CSE48,,,,
EL 1ST SEM,BIOEL1,BIOGF01,,,,
EL 1ST SEM,DSC-EL,EL20,yes,EL21,,
EL 3RD SEM,ELU-201-V,EL04,,,,
EL 3RD SEM,ELU-201-V (T),EL04,,,,
EL 3RD SEM,ELU-201-V (T)1,EL04,,,,
EL 3RD SEM,ELU-203-V,EL12,,,,
EL 3RD SEM,ELU-205-V,EL03,,,,
EL 3RD SEM,ELU-207-V,EE15,,,,
EL 3RD SEM,ELU-207-V (T),EE15,,,,
EL 3RD SEM,ELU-207-V (T)1,EE15,,,,
EL 3RD SEM,OEU-201-V,MECH13,,,,
EL 3RD SEM,OEU-201-V (T),MECH13,,,,
EL 3RD SEM,OEU-201-V (T)1,MECH13,,,,
EL 3RD SEM,MTU-217-V,MATH12,,,,
EL 3RD SEM,MTU-217-V (T),MATH12,,,,
EL 3RD SEM,MTU-217-V (T)1,MATH12,,,,
EL 3RD SEM,VAC-112-V,EL15,,,,
EL 3RD SEM,ELU-209-V,EL12; EL12,yes,EL08; EL14,,
EL 3RD SEM,ELU-211-V,EL07,yes,EL03,,
EL 3RD SEM,ELU-209-V-ELU-211-V(1),EL12;EL07,yes,EL08;EL03,,
EL 3RD SEM,ELU-209-V-ELU-211-V(2),EL12;EL07,yes,EL14;EL03,,
EL 3RD SEM,ELU-209-V-ELU-211-V(3),EL12;EL07,yes,EL08;EL03,,
EL 3RD SEM,ELU-209-V-ELU-211-V(4),EL12;EL07,yes,EL14;EL03,,
EL 3RD SEM,ELU-213-V,EL18,yes,EL19,,
EL 5TH SEM,ELU-301-V,EL06,,,,
EL 5TH SEM,ELU-303-V,EL02,,,,
EL 5TH SEM,ELU-305-V,EL11,,,,
EL 5TH SEM,LSU-241-V,BIOGF01,,,,
EL 5TH SEM,ELU-317-V,EL08,,,,
EL 5TH SEM,OEU-264-V,CSE33,,,,
EL 5TH SEM,ELU-307-V,EL06; EL09,yes,EL13; EL10,,
EL 5TH SEM,ELU-309-V,EL02;EL02;EL02;EL04,yes,EL04;EL04;EL05;EL05,,
EL 5TH SEM,ELU-311-V,EL11,yes,EL14,,
EL 5TH SEM,ELU-313-V,EL18,yes,EL19,,
EL 7TH SEM,ELU-407-V,EL05,,,,
EL 7TH SEM,ELU-411-V,EL10,,,,
EL 7TH SEM,OEU-260-V,EL07,,,,
EL 7TH SEM,OEU-220-V,CSE38,,,,
EL 7TH SEM,OEU-224-V,CSE35,,,,
EL 7TH SEM,ELOE-104,CSE33,,,,
EL 7TH SEM,ELU-403-V,EL18,yes,EL19,,
EL 7TH SEM,OEU-206-V,MS15,,,,
MPED 1ST SEM,MPED101,EL01,,,,
MPED 1ST SEM,MPED102,EL16,,,,
MPED 1ST SEM,RM101,MECH12,,,,Combined class with M.Tech Mechanical 3rd sem with same slot
MPED 1ST SEM,MPED151,EL01,,,,
MPED 1ST SEM,MPED152,EL08,,,,
MPED 1ST SEM,AUD01,EL15,,,,
MPED 1ST SEM,MPED103,EL08,,,,
MPED 1ST SEM,MPS112A,EL17,,,,
MPED 3RD SEM,MPS302A,EL02,,,,
MPED 3RD SEM,MOEL06,MECH26,,,,Combined class with M.Tech Mechanical 3rd sem with same slot
Minor 1st Sem,MD-EV-502,EL15,,,,
Minor 1st Sem,MD-EV-501,EL01,,,,
Minor 1st Sem,MD-EV-551,EL01,yes,EL16,,
Minor 3rd Sem,MD-EV-701,EL16,,,,
