section_id,subject_code,group_count,elective_section_id
M.Sc. EVS 1st Sem,ESP-101-V,1,
M.Sc. EVS 1st Sem,ESP-103-V,1,
M.Sc. EVS 1st Sem,ESP-105-V,1,
M.Sc. EVS 1st Sem,ESP-107-V,1,
M.Sc. EVS 1st Sem,ESP-109-V,1,
M.Sc. EVS 1st Sem,ESP-111-V,1,
M.Sc. EVS 1st Sem,ESP-113-V,1,
M.Sc. EVS 1st Sem,VAC-105-V,1,
M.Sc. EVS 3rd Sem,ESP-201-V,1,
M.Sc. EVS 3rd Sem,ESP-203-V,1,
M.Sc. EVS 3rd Sem,ESP-213-V,1,
M.Sc. EVS 3rd Sem,ESP-217-V,1,
M.Sc. EVS 3rd Sem,ESP-221-V,1,
M.Sc. EVS 3rd Sem,ESP-205-V,1,
M.Sc. EVS 3rd Sem,ESP-207-V,1,
M.Sc. EVS 3rd Sem,ESP-209-V,1,
M.Sc. EVS 3rd Sem,AEC-315-V,1,
B.Sc. EVS 1st Sem,ESU-101-V,1,
B.Sc. EVS 1st Sem,ESU-103-V,1,
B.Sc. EVS 1st Sem,ESU-105-V,1,
B.Sc. EVS 1st Sem,ESU-107-V,1,
B.Sc. EVS 1st Sem,ESU-109-V,1,
B.Sc. EVS 1st Sem,ESU-111-V,1,
B.Sc. EVS 1st Sem,OSU-110-V,1,
B.Sc. EVS 1st Sem,AEC-101-V,1,
B.Sc. EVS 1st Sem,VAC-105-V,1,
