section_id,subject_number ,Teacher_id,is_shared_lab,second_teacher_id
M.Sc. EVS 1st Sem,ESP-101-V,ES01,no,
M.Sc. EVS 1st Sem,ESP-103-V,ES03,no,
M.Sc. EVS 1st Sem,ESP-105-V,ES02,no,
M.Sc. EVS 1st Sem,ESP-107-V,ES04,no,
M.Sc. EVS 1st Sem,ESP-109-V,MATH06,no,
M.Sc. EVS 1st Sem,ESP-111-V,ES01,no,
M.Sc. EVS 1st Sem,ESP-113-V,ES03,no,
M.Sc. EVS 1st Sem,VAC-105-V,LL10,no,
M.Sc. EVS 3rd Sem,ESP-201-V,ES04,no,
M.Sc. EVS 3rd Sem,ESP-203-V,ES01,no,
M.Sc. EVS 3rd Sem,ESP-213-V,ES03,no,
M.Sc. EVS 3rd Sem,ESP-217-V,ES02,no,
M.Sc. EVS 3rd Sem,ESP-221-V,MS16,no,
M.Sc. EVS 3rd Sem,ESP-205-V,ES05,no,
M.Sc. EVS 3rd Sem,ESP-207-V,ES04,no,
M.Sc. EVS 3rd Sem,ESP-209-V,ES02,no,
M.Sc. EVS 3rd Sem,AEC-315-V,LL11,no,
B.Sc. EVS 1st Sem,ESU-101-V,ES04,no,
B.Sc. EVS 1st Sem,ESU-103-V,ES05,no,
B.Sc. EVS 1st Sem,ESU-105-V,ES03,no,
B.Sc. EVS 1st Sem,ESU-107-V,ES04,no,
B.Sc. EVS 1st Sem,ESU-109-V,ES03,no,
B.Sc. EVS 1st Sem,ESU-111-V,ES07,no,
B.Sc. EVS 1st Sem,OSU-110-V,CMT05,no,
B.Sc. EVS 1st Sem,AEC-101-V,LL12,no,
B.Sc. EVS 1st Sem,VAC-105-V,LL10,no,
