section_id,subject_code,group_count,elecive_section_id
MA 1st SEM,ENP-101-V,1,
MA 1st SEM,ENP-103-V,1,
MA 1st SEM,ENP-105-V,1,
,,,
MA 1st SEM,ENP-109-V,1,
,,,
MA 1st SEM,ENP-113-V,1,
MA 1st SEM,ENP-115-V,1,
MA IIIRD SEM,ENP-201-V,1,
MA IIIRD SEM,ENP-203-V,1,
MA IIIRD SEM,ENP-205-V,1,
MA IIIRD SEM,ENP-207-V,1,
MA IIIRD SEM,ENP-209-V,1,
MA IIIRD SEM,ENP-211-V,1,
MA IIIRD SEM,ENP-213-V,1,
MA IIIRD SEM,ENP-221-V,1,
,,,
,,,
BA 1ST SEM,BEU-101-V1 ,1,
BA 1ST SEM,BEU-103-V1 ,1,
BA 1ST SEM,BEU-105-V1,1,
BA 1ST SEM,BEU-107-V1,1,
BA 1ST SEM,BEU-109-V1,1,
BA 1ST SEM,BEU-111-V1,1,
