section_id,subject_number,instructor_uid,shared_lab,second_instructor_uid
MA 1st SEM,ENP-101-V,LL02,,
MA 1st SEM,ENP-103-V,LL04,,
MA 1st SEM,ENP-105-V,LL01,,
MA 1st SEM,ENP-109-V,LL03,,
MA 1st SEM,ENP-113-V,LL02,yes,LL04
MA 1st SEM,ENP-115-V,LL05,,
MA IIIRD SEM,ENP-201-V,LL02,,
MA IIIRD SEM,ENP-203-V,LL01,,
MA IIIRD SEM,ENP-205-V,LL03,,
MA IIIRD SEM,ENP-207-V,LL03,yes,LL07
MA IIIRD SEM,ENP-209-V,LL05,,
MA IIIRD SEM,ENP-213-V,LL05,,
MA IIIRD SEM,ENP-221-V,LL03,,
BA 1ST SEM,BEU-101-V1 ,LL08,,
BA 1ST SEM,BEU-103-V1 ,LL09,,
BA 1ST SEM,BEU-105-V1,LL08,,
BA 1ST SEM,BEU-107-V1,LL01,,
BA 1ST SEM,BEU-109-V1,LL09,,
BA 1ST SEM,BEU-111-V1,LL09,,
