section_id,subject_code,elective_section_id
BSc Math 1st sem,MTU-101-V,
BSc Math 1st sem,MTU-103-V,
BSc Math & Computing 1st sem,MTU-103-V,
BSc Math 1st sem,MTU-105-V,
BSc Math 1st sem,OSU-103-V,
BSc Math 1st sem,OSU-111-V,BSc Math & Computing 1st sem
BSc Math & Computing 1st sem,PHU-109-V,BSc Math 1st sem
BSc Math 1st sem,OSU-107-V,
BSc Math & Computing 1st sem,OSU-107-V,
BSc Math 1st sem,AEC-101-V,
BSc Math 1st sem,MTU-107-V,
BSc Math 1st sem,VAC-201-V,
BSc Math & Computing 1st sem,MTU-101-V,
BSc Math & Computing 1st sem,MTU-105-V,
BSc Math & Computing 1st sem,AEC-101-V,
BSc Math & Computing 1st sem,MTU-107-V,
BSc Math & Computing 1st sem,VAC-201-V,
BSc Math & Computing 1st sem,BCG-101-V,
BSc Math 3rd sem,MTU-201-V,
BSc Math 3rd sem,MTU-203-V,
BSc Math 3rd sem,MTU-205-V,
BSc Math 3rd sem,CHU-241-V,
BSc Math 3rd sem,PHU-209-V,
BSc Math 3rd sem,OSU-201-V,
BSc Math 3rd sem,OSU-207-V,
BSc Math 3rd sem,AEC-103-V,
BSc Math 3rd sem,MTU-207-V,
BSc Math 3rd sem,VAC-202-V,
BSc Math 5th sem,MTU-301-V,
BSc Math 5th sem,MTU-303-V,
BSc Math 5th sem,MTU-313-V,
BSc Math 5th sem,MTU-309-V,
BSc Math 5th sem,MTU-305-V,
MSc Math 1st sem,MATH21-701,
MSc Math 1st sem,MATH21-702,
MSc Math 1st sem,MATH21-703,
MSc Math 1st sem,MATH21-704,
MSc Math 1st sem,MATH21-705,
MSc Math 1st sem,MATH21-706,
MSc Math 1st sem,VAC-001,
MSc Math 3rd sem,MATH21-801,
MSc Math 3rd sem,MATH21-802,
MSc Math 3rd sem,MATH21-803,
MSc Math 3rd sem,MATH21-804,
MSc Math 3rd sem,MATH21-805B,
MSc Math 3rd sem,MATH21-806,
MSc Math 3rd sem,OES301B,
B.Tech. Computer Science and Applied Mathematics 1st sem,ELU-101V,
B.Tech. Computer Science and Applied Mathematics 1st sem,CHU-141V,
B.Tech. Computer Science and Applied Mathematics 1st sem,ENG-101V,
B.Tech. Computer Science and Applied Mathematics 1st sem,ELU-103V,
B.Tech. Computer Science and Applied Mathematics 1st sem,CHU-142V,
B.Tech. Computer Science and Applied Mathematics 1st sem,ENG-103V,
B.Tech. Computer Science and Applied Mathematics 1st sem,ESC104,
B.Tech. Computer Science and Applied Mathematics 1st sem,MTU-145V,
