section_id,subject_code,group count,elective _section id
BSC 1ST SEM,PHU-101-V,1,
BSC 1ST SEM,PHU-105-V,1,
BSC 1ST SEM,PHU-107-V/103-V-1,2,
BSC 1ST SEM,PHU-107-V/103-V-2,2,
BSC 1ST SEM,PHU-107-V/103-V-3,2,
BSC 1ST SEM,PHU-107-V/103-V-4,2,
BSC 1ST SEM,PHU-109-V,1,
BSC 1ST SEM,PHU-111-V,1,
BSC 1ST SEM,PHU-113-V,1,
BSC 1ST SEM,ESU-201-V,1,
BSC 1ST SEM,AEC-101-V,1,
BSC 1ST SEM,OSU-109-V,1,
BSC 3RD SEM,PHU-201-V,1,
BSC 3RD SEM,PHU-203-V,2,
BSC 3RD SEM,PHU-205-V,1,
BSC 3RD SEM,PHU-207-V,2,
BSC 3RD SEM,PHU-209-V,1,
BSC 3RD SEM,PHU-215-V,1,
BSC 3RD SEM,PHU-217-V,2,
BSC 3RD SEM,OSU-213-V,1,
BSC 3RD SEM,OSU-201-V,1,
BSC 3RD SEM,OSU-207-V,2,
BSC 3RD SEM,AEC-103-V,1,
BSC 3RD SEM,ESU-202-V,1,
BSC 5TH SEM,PHU-301-V,1,
BSC 5TH SEM,PHU-303-V,2,
BSC 5TH SEM,PHU-305-V,1,
BSC 5TH SEM,PHU-307-V,2,
BSC 5TH SEM,PHU-309-V,1,
BSC 5TH SEM,PHU-311-V,2,
BSC 5TH SEM,PHU-313-V,1,
BSC 5TH SEM,PHU-315-V,2,
BSC 5TH SEM,PHU-317-V,1,
BSC 5TH SEM,PHU-319-V,2,
MSC 1ST SEM,PHP-101-V,1,
MSC 1ST SEM,PHP-103-V,1,
MSC 1ST SEM,PHP-105-V,1,
MSC 1ST SEM,PHP-107-V,1,
MSC 1ST SEM,PHP-109/111-V-1,1,
MSC 1ST SEM,PHP-109/111-V-2,1,
MSC 1ST SEM,PHP-109/111-V-3,1,
MSC 1ST SEM,PHP-109/111-V-4,1,
MSC 1ST SEM,PHP-113-V,1,
MSC 3RD SEM,PHP-201-V,1,
MSC 3RD SEM,PHP-203-V,1,
MSC 3RD SEM,PHP-205-V,1,
MSC 3RD SEM,PHP-221/231-V,2,
MSC 3RD SEM,PHP-223/233-V,2,
MSC 3RD SEM,PHP-235/225-V-1,2,
MSC 3RD SEM,PHP-235/225-V-2,2,
MSC 3RD SEM,PHP-235/225-V-3,2,
MSC 3RD SEM,PHP-235/225-V-4,2,
MSC 3RD SEM,OSP-201-V,1,
