section_id,subject_number,instructor_uid,shared_lab,second_instructor_uid
BSC 1ST SEM,PHU-101-V,PHY10,,
BSC 1ST SEM,PHU-105-V,PHY14,,
BSC 1ST SEM,PHU-107-V/103-V,PHY14;PHY14;PHY14;PHY14,yes,PHY10;PHY04;PHY10;PHY15
BSC 1ST SEM,PHU-109-V,PHY14,,
BSC 1ST SEM,PHU-111-V,PHY15,,
BSC 1ST SEM,PHU-113-V,PHY15,no,
BSC 1ST SEM,ESU-201-V,ES09,,
BSC 1ST SEM,AEC-101-V,LL09,,
BSC 1ST SEM,OSU-109-V,MATH11,,
BSC 3RD SEM,PHU-201-V,PHY11,,
BSC 3RD SEM,PHU-203-V,PHY11;PHY05,yes,PHY15;PHY11
BSC 3RD SEM,PHU-205-V,PHY15,,
BSC 3RD SEM,PHU-207-V,PHY06;PHY12,yes,PHY08;PHY06
BSC 3RD SEM,PHU-209-V,PHY09,,
BSC 3RD SEM,PHU-215-V,PHY06,,
BSC 3RD SEM,PHU-217-V,PHY09,yes,PHY07
BSC 3RD SEM,OSU-213-V,MATH11,,
BSC 3RD SEM,OSU-201-V,PHY02,,
BSC 3RD SEM,OSU-207-V,PHY15,yes,PHY02
BSC 3RD SEM,AEC-103-V,LL09,,
BSC 3RD SEM,ESU-202-V,ES08,,
BSC 5TH SEM,PHU-301-V,PHY07,,
BSC 5TH SEM,PHU-303-V,PHY11;PHY11,no,
BSC 5TH SEM,PHU-305-V,PHY01,,
BSC 5TH SEM,PHU-307-V,PHY01;PHY12,no,
BSC 5TH SEM,PHU-309-V,PHY04,,
BSC 5TH SEM,PHU-311-V,PHY06;PHY05,no,
BSC 5TH SEM,PHU-313-V,PHY13,,
BSC 5TH SEM,PHU-315-V,PHY09;PHY15,no,
BSC 5TH SEM,PHU-317-V,PHY19;PHY21,,
BSC 5TH SEM,PHU-319-V,PHY04;PHY13,no,
MSC 1ST SEM,PHP-101-V,PHY06,,
MSC 1ST SEM,PHP-103-V,PHY12,,
MSC 1ST SEM,PHP-105-V,PHY07,,
MSC 1ST SEM,PHP-107-V,PHY09,,
MSC 1ST SEM,PHP-109/111-V-1,PHY02,,PHY06
MSC 1ST SEM,PHP-109/111-V-2,PHY01,,PHY03
MSC 1ST SEM,PHP-109/111-V-3,PHY07,,PHY04
MSC 1ST SEM,PHP-109/111-V-4,PHY10,,PHY10
MSC 1ST SEM,PHP-113-V,PHY01,yes,PHY03
MSC 3RD SEM,PHP-201-V,PHY13,,
MSC 3RD SEM,PHP-203-V,PHY12,,
MSC 3RD SEM,PHP-205-V,PHY04,yes,PHY06
MSC 3RD SEM,PHP-221/231-V,PHY03;PHY05,,
MSC 3RD SEM,PHP-223/233-V,PHY02;PHY04,,
MSC 3RD SEM,PHP-235/225-V-1,PHY05;PHY03,,
MSC 3RD SEM,PHP-235/225-V-2,PHY05;PHY08,,
MSC 3RD SEM,PHP-235/225-V-3,PHY08;PHY13,,
MSC 3RD SEM,PHP-235/225-V-4,PHY01;PHY13,,
MSC 3RD SEM,OSP-201-V,ES05,,
