"department_code","subject_number","subject_name","room_required","required_lab_category","specific_equipment/software_lab","classes_per_week","max_numb_students","duration","group_count"
"CSE","PCC-CS-501","Database Management Systems","LECTURE HALL","","","3","","1","1"
"CSE","PCC-CS-502","Formal Languages & Compiler Design","LECTURE HALL","","","3","","1","1"
"CSE","PCC-CS-503","Object Oriented Programming","LECTURE HALL","","","3","","1","1"
"CSE","PCC-CS-504","Operating Systems","LECTURE HALL","","","3","","1","1"
"CSE","BSC-DS-301","Mathematics for Data Science","LECTURE HALL","","","3","","1","1"
"CSE","HSMC-01","Effective Technical Communication","LECTURE HALL","","","2","","1","1"
"CSE","MC-01","Constitution of India","LECTURE HALL","","","2","","1","1"
"CSE","PCC-CS-L501","DBMS Lab","LAB","Computer Lab","CC01","1","","4","2"
"CSE","PCC-CS-L502","OOP Lab","LAB","Computer Lab","CC02","1","","4","2"
"CSE","PCC-CS-L503","OS Lab","LAB","Computer Lab","CC03","1","","4","3"
