room_number,department_code,room_seating_capacity,room_type,lab_category,,,
SB 302,CHE,70,LECTURE HALL,,,,
SB 303,CHE,70,LECTURE HALL,,,,
SB 803,CHE,70,LECTURE HALL,,,,
SB 305 A,CHE,32,LECTURE HALL,,,,
SB 305 B,CHE,32,LECTURE HALL,,,,
SB 905,CHE,30,LAB,CHEM BTech lab,math/btech,,
SB 801,CHE,30,LAB,BSc Lab,"common che lab,physical/inorganic/organic",,only for bsc
SB 802,CHE,30,LAB,PHYSICAL CHEMISTRY LAB,bsc-2,,
SB 805,CHE,30,LAB,INORGANIC CHEMISTRY LAB,bsc-2,,
SB 806,CHE,30,LAB,ORGANIC CHEMISTRY LAB,bsc-2,,
