section_id,subject_code,Teacher_id,is_shared_lab,second_teacher_id
MSCCHE(Isem)-BSCCHE(VIIsem),CH-101 B,CHE01,,
MSCCHE(Isem)-BSCCHE(VIIsem),CH-102 B,CHE03,,
MSCCHE(Isem)-BSCCHE(VIIsem),CH-103 B,CHE04,,
MSCCHE(Isem)-BSCCHE(VIIsem),CH-104 X-B,MATH16,,
MSCCHE(Isem)-BSCCHE(VIIsem),CH-104 Y-B,CHE12,,
MSCCHE(Isem)-BSCCHE(VIIsem),CH-105 B,CHE01,yes,CHE16
MSCCHE(Isem)-BSCCHE(VIIsem),CH-106 B,CHE03,yes,CHE07
MSCCHE(Isem)-BSCCHE(VIIsem),CH-107 B,CHE04,yes,CHE08
MSCCHE(IIIsem),CH-301 B,CHE07,,
MSCCHE(IIIsem),CH-302 B,CHE08,,
MSCCHE(IIIsem),CH-303 B,CHE09,,
MSCCHE(IIIsem),CH-304 B,CHE09,yes,CHE02
MSCCHE(IIIsem),CH-305B,CHE10,,
MSCCHE(IIIsem),"CH-315B
",CHE02,,
MSCCHE(IIIsem),"CH-325B
 ",CHE05,,
MSCCHE(IIIsem),"CH-306B/CH-326B/CH-316B
",CHE11;CHE02;CHE05,yes,CHE09; ;
MSCCHE(IIIsem),OES 301B,ES06,,
BSCCHE(Isem),CHU-101-V,CHE11,,
BSCCHE(Isem),CHU-103-V,CHE04,,
BSCCHE(Isem),CHU-105-V,CHE17,,
BSCCHE(Isem),CHU-107-V,CHE04,yes,CHE18
BSCCHE(Isem),OSU-115-V,MATH13,,
BSCCHE(Isem),JMU-101-V,CMT08,,
BSCCHE(Isem),AEC-101-V ,LL09,,
BSCCHE(Isem),CHU-109-V,CHE15,,
BSCCHE(Isem),CHU-111-V,CHE22,,
BSCCHE(Isem),ESU-101-V,ES10,,
BSCCHE(IIIsem),CHU-201-V,CHE09,no,
BSCCHE(IIIsem),CHU-203-V,CHE10,,
BSCCHE(IIIsem),CHU-205-V,CHE08,,
BSCCHE(IIIsem),CHU-207-V,CHE03,yes,CHE12
BSCCHE(IIIsem),CHU-209-V,CHE08,yes,CHE13
BSCCHE(IIIsem),MTU-211-V,MATH04,,
BSCCHE(IIIsem),JMU-103-V,CMT08,,
BSCCHE(IIIsem),AEC-103-V,LL09,,
BSCCHE(IIIsem),CHU-211-V,CHE11,yes,CHE17
BSCCHE(IIIsem),VAC-108-V,CSE47,,
BSCCHE(Vsem),CHU-301-V,CHE12,,
BSCCHE(Vsem),CHU-302-V,CHE05,,
BSCCHE(Vsem),CHU-303-V/CHU-304-V,CHE12;CHE05,yes,CHE10;CHE13
BSCCHE(Vsem),PHU-317-V,PHY17,yes,PHY18
BSCCHE(Vsem),PHU-319-V/CHU-312-V,PHY18;CHE19,yes,PHY17;
BSCCHE(Vsem),CHU-311-V,CHE11,,
MSCCHE(Isem)-BSCCHE(VIIsem),CHU-413-V,CHE02,no,
MSCCHE(Isem)-BSCCHE(VIIsem),CHU-417-V,CHE13,no,
