section_id,subject_code,group_count,elective_section_id
,,,
MSCCHE(Isem),CH-101 B,1,
MSCCHE(Isem),CH-102 B,1,
MSCCHE(Isem),CH-103 B,1,
MSCCHE(Isem),CH-104 X-B,1,
MSCCHE(Isem),CH-104 Y-B,1,
MSCCHE(Isem),CH-105 B,2,
MSCCHE(Isem),CH-106 B,2,
MSCCHE(Isem),CH-107 B,2,
MSCCHE(IIIsem),CH-301 B,1,
MSCCHE(IIIsem),CH-302 B,1,
MSCCHE(IIIsem),CH-303 B,1,
MSCCHE(IIIsem),CH-304 B,2,
MSCCHE(IIIsem),CH-305B,1,
MSCCHE(IIIsem),"CH-315B
",1,
MSCCHE(IIIsem),"CH-325B
 ",1,
MSCCHE(IIIsem),CH-306B,1,
MSCCHE(IIIsem),"CH-326B
 ",1,
MSCCHE(IIIsem),CH-316B,1,
MSCCHE(IIIsem),OES 301B,1,
BSCCHE(Isem),CHU-101-V,1,
BSCCHE(Isem),CHU-103-V,1,
BSCCHE(Isem),CHU-105-V,2,
BSCCHE(Isem),CHU-107-V,2,
BSCCHE(Isem),OSU-115-V,1,
BSCCHE(Isem),JMU-101-V,1,
BSCCHE(Isem),AEC-101-V ,1,
BSCCHE(Isem),CHU-109-V,1,
BSCCHE(Isem),CHU-111-V,2,
BSCCHE(Isem),VAC-101-V,1,
BSCCHE(IIIsem),CHU-201-V,1,
BSCCHE(IIIsem),CHU-203-V,1,
BSCCHE(IIIsem),CHU-205-V,1,
BSCCHE(IIIsem),CHU-207-V,2,
BSCCHE(IIIsem),CHU-209-V,2,
BSCCHE(IIIsem),MTU-211-V,1,
BSCCHE(IIIsem),JMU-103-V,1,
BSCCHE(IIIsem),AEC-103-V,1,
BSCCHE(IIIsem),CHU-211-V,2,
BSCCHE(IIIsem),VAC-108-V,1,
BSCCHE(Vsem),CHU-301-V,1,
BSCCHE(Vsem),CHU-302-V,1,
BSCCHE(Vsem),CHU-303-V,2,
BSCCHE(Vsem),CHU-304-V,2,
BSCCHE(Vsem),PHU-317-V,1,
BSCCHE(Vsem),PHU-319-V,2,
BSCCHE(Vsem),CHU-311-V,1,
BSCCHE(Vsem),CHU-312-V,2,
BSCCHE(VIIsem),CHU-401-V,1,
BSCCHE(VIIsem),CHU-403-V,1,
BSCCHE(VIIsem),CHU-405-V,1,
BSCCHE(VIIsem),CHU-407-V,2,
BSCCHE(VIIsem),CHU-409-V,2,
BSCCHE(VIIsem),CHU-411-V,2,
BSCCHE(VIIsem),CHU-413-V,1,
BSCCHE(VIIsem),CHU-415-V,1,
BSCCHE(VIIsem),CHU-417-V,1,
