section_id,subject_code,group_count,elective_section_id
MSCCHE(Isem)/BSCCHE(VIIsem),CH-101 B,1,
MSCCHE(Isem)/BSCCHE(VIIsem),CH-102 B,1,
MSCCHE(Isem)/BSCCHE(VIIsem),CH-103 B,1,
MSCCHE(Isem)/BSCCHE(VIIsem),CH-104 X-B,1,
MSCCHE(Isem)/BSCCHE(VIIsem),CH-104 Y-B,1,
MSCCHE(Isem)/BSCCHE(VIIsem),CH-105 B-CH-106 B(1),2,
MSCCHE(Isem)/BSCCHE(VIIsem),CH-107 B-CH-105 B(2),2,
MSCCHE(Isem)/BSCCHE(VIIsem),CH-107 B-CH-105 B(3),2,
MSCCHE(Isem)/BSCCHE(VIIsem),CH-106 B-CH-107 B(4),2,
MSCCHE(Isem)/BSCCHE(VIIsem),CH-106 B-CH-107 B(5),2,
MSCCHE(Isem)/BSCCHE(VIIsem),CH-105 B-CH-106 B(6),2,
MSCCHE(IIIsem),CH-301 B,1,
MSCCHE(IIIsem),CH-302 B,1,
MSCCHE(IIIsem),CH-303 B,1,
MSCCHE(IIIsem),CH-304 B(1),2,
MSCCHE(IIIsem),CH-304 B(2),2,
MSCCHE(IIIsem),CH-305B,1,
MSCCHE(IIIsem),"CH-315B",1,
MSCCHE(IIIsem),"CH-325B",1,
MSCCHE(IIIsem),"CH-306B-CH-326B-CH-316B(I)",3,
MSCCHE(IIIsem),CH-306B-CH-326B-CH-316B(II),3,
MSCCHE(IIIsem),OES 301B,1,
BSCCHE(Isem),CHU-101-V,1,
BSCCHE(Isem),CHU-103-V,1,
BSCCHE(Isem),CHU-105-V--CHU-107-V(1),2,
BSCCHE(Isem),CHU-105-V--CHU-107-V(2),2,
BSCCHE(Isem),OSU-115-V,1,
BSCCHE(Isem),JMU-101-V,1,
BSCCHE(Isem),AEC-101-V ,1,
BSCCHE(Isem),CHU-109-V,1,
BSCCHE(Isem),CHU-111-V,2,
BSCCHE(Isem),ESU-101-V,1,
BSCCHE(IIIsem),CHU-201-V,1,
BSCCHE(IIIsem),CHU-203-V,1,
BSCCHE(IIIsem),CHU-207-V---CHU-209-V(1),2,
BSCCHE(IIIsem),CHU-207-V---CHU-209-V(2),2,
BSCCHE(IIIsem),"CHU-209-V---CHU-211-V(1)",2,
BSCCHE(IIIsem),"CHU-209-V---CHU-211-V(2)",2,
BSCCHE(IIIsem),CHU-207-V---CHU-211-V(1),2,
BSCCHE(IIIsem),CHU-207-V---CHU-211-V(2),2,
BSCCHE(IIIsem),CHU-205-V,1,
BSCCHE(IIIsem),CHU-207-V,2,
BSCCHE(IIIsem),CHU-209-V,2,
BSCCHE(IIIsem),MTU-211-V,1,
BSCCHE(IIIsem),JMU-103-V,1,
BSCCHE(IIIsem),AEC-103-V,1,
BSCCHE(IIIsem),CHU-211-V,2,
BSCCHE(IIIsem),VAC-108-V,1,
BSCCHE(Vsem),CHU-301-V,1,
BSCCHE(Vsem),CHU-302-V,1,
BSCCHE(Vsem),CHU-303-V/CHU-304-V,2,
BSCCHE(Vsem),PHU-317-V,1,
BSCCHE(Vsem),PHU-319-V/CHU-312-V,2,
BSCCHE(Vsem),CHU-311-V,1,
MSCCHE(Isem)/BSCCHE(VIIsem),CHU-413-V,1,
MSCCHE(Isem)/BSCCHE(VIIsem),CHU-417-V,1,
