section_id,subject_number,group_count,elective_section_id
CE11/CE12 1st Sem,PHU-145-V,1,
CE11/CE12 1st Sem,MTU-147-V,1,
CE11/CE12 1st Sem,MEU-103-V,1,
CE11/CE12 1st Sem,CSU-101-V,1,
CE11/CE12 1st Sem,MEU-101-V,1,
CE11/CE12 1st Sem,PHU-147-V,1,
CE11/CE12 1st Sem,LSU-241-V,1,
CE11/CE12 1st Sem,CSU-103-V,2,
CE11/CE12 1st Sem,PHU-147-V,2,
CE11/CE12 1st Sem,CSU-103-V,1,
CE32 3rd Sem,ELU-241-V,1,CE31 3rd Sem
CE32 3rd Sem,AEC-112-V,1,CE31 3rd Sem
CE32 3rd Sem,CVU-201-V,1,CE31 3rd Sem
CE32 3rd Sem,CVU-203-V,1,CE31 3rd Sem
CE32 3rd Sem,CVU-205-V,1,CE31 3rd Sem
CE31 3rd Sem,CVU-207-V,1,
CE31 3rd Sem,CVU-209-V,3,CE32 3rd Sem
CE31 3rd Sem,CVU-211-V,3,CE32 3rd Sem
CE31 3rd Sem,CVU-213-V,3,
CE31 3rd Sem,VAC-121-V,1,CE32 3rd Sem
CE51 5th Sem,CVU-301-V,1,
CE51 5th Sem,CVU-303-V,1,
CE51 5th Sem,CVU-305-V,1,
CE51 5th Sem,CVU-307-V,1,CE52 5th Sem
CE51 5th Sem,CVU-309-V,1,CE52 5th Sem
CE51 5th Sem,CVU-311-V,1,CE52 5th Sem
CE51 5th Sem,CVU-313-V,3,CE52 5th Sem
CE51 5th Sem,CVU-315-V,3,CE52 5th Sem
CE51 5th Sem,MEU-431-V,3,
CE51 5th Sem,ESU-201-V,1,CE52 5th Sem
CE71 7th Sem,CVU-401-V,1,
CE71 7th Sem,CVU-403-V,1,
CE71 7th Sem,CVU-405-V,1,
CE71 7th Sem,CVU-409-V,1,
CE71 7th Sem,CVU-411-V,1,
CE71 7th Sem,CVU-417-V,1,
CE71 7th Sem,CVU-418-V,1,
CE71 7th Sem,CVU-433-V,1,
CE32 3rd Sem,ENU-201-V,1,
CE32 3rd Sem,ENU-203-V,1,
CE52 5th Sem,ENU-301-V,1,
CE52 5th Sem,ENU-303-V,1,
CE72 7th Sem,ENU-401-V,1,
CE72 7th Sem,ENU-403-V,1,
CE72 7th Sem,CVU-415-V,1,
CE72 7th Sem,ENU-409-V,1,
CE72 7th Sem,ENU-419-V,1,
