section_id,subject_code,Teacher_id,is_shared_lab,second_teacher_id
CE11/CE12 1st Sem,PHU-145-V,PHY20,yes,PHY23
CE11/CE12 1st Sem,MTU-147-V,MATH14,no,
CE11/CE12 1st Sem,MEU-103-V,CE07,yes,CE09
CE11/CE12 1st Sem,CSU-101-V,CSE50,no,
CE11/CE12 1st Sem,MEU-101-V,DUMMY 1,no,
CE11/CE12 1st Sem,PHU-147-V,PHY09,yes,PHY14
CE11/CE12 1st Sem,LSU-241-V,DUMMY 2,no,
CE11/CE12 1st Sem,CSU-103-V,CSE50,no,
CE11/CE12 1st Sem,ELU-241-V,EE13,no,
CE11/CE12 1st Sem,AEC-112-V,DUMMY 3,no,
CE31 3rd Sem,CVU-201-V,CE10,no,
CE31 3rd Sem,CVU-203-V,CE06,no,
CE31 3rd Sem,CVU-205-V,CE09,no,
CE31 3rd Sem,CVU-207-V,CE07,no,
CE31 3rd Sem,CVU-209-V,CE06,no,
CE31 3rd Sem,CVU-211-V,CE08,yes,CE10
CE31 3rd Sem,CVU-213-V,CE03,yes,CE02
CE31 3rd Sem,VAC-121-V,DUMMY 4,no,
,,,,
CE32 3rd Sem,CVU-213-V,CE03,yes,CE02
CE32 3rd Sem,VAC-121-V,DUMMY 4,no,
CE32 3rd Sem,CVU-201-V,CE10,no,
CE32 3rd Sem,CVU-203-V,CE06,no,
CE32 3rd Sem,CVU-205-V,CE09,no,
CE32 3rd Sem,CVU-207-V,CE07,no,
CE32 3rd Sem,CVU-209-V,CE06,no,
,,,,
CE31 3rd Sem,CVU-301-V,CE09,no,
CE31 3rd Sem,CVU-303-V,CE04,no,
CE31 3rd Sem,CVU-303-V,CE04,no,
,,,,
CE32 3rd Sem,CVU-303-V,CE04,no,
CE32 3rd Sem,CVU-303-V,CE04,no,
,,,,
CE51 5th Sem,CVU-305-V,CE10,no,
CE51 5th Sem,CVU-307-V,CE09,no,
CE51 5th Sem,CVU-309-V,CE07,no,
CE52 5th Sem,CVU-311-V,CE05,no,
CE52 5th Sem,CVU-313-V,CE04,no,
CE52 5th Sem,CVU-315-V,CE05,no,
CE52 5th Sem,MEU-431-V,CE02,yes,CE03
CE52 5th Sem,ESU-201-V,CE08,no,
CE51 5th Sem,CVU-401-V,CE08,no,
,,,,
CE51 5th Sem,CVU-311-V,CE05,no,
CE51 5th Sem,CVU-313-V,CE04,no,
CE51 5th Sem,CVU-315-V,CE05,no,
CE51 5th Sem,MEU-431-V,CE02,yes,CE03
CE51 5th Sem,ESU-201-V,CE08,no,
CE51 5th Sem,CVU-403-V,CE08,no,
,,,,
CE52 5th Sem,CVU-403-V,CE08,no,
CE71 7th Sem,CVU-405-V,CE06,no,
CE71 7th Sem,CVU-411-V,CE07,no,
CE71 7th Sem,CVU-415-V,CE09,no,
CE71 7th Sem,CVU-417-V,CE06,no,
CE71 7th Sem,CVU-418-V,CE05,no,
CE71 7th Sem,CVU-433-V,CE10,no,
CE71 7th Sem,ENU-201-V,CE10,no,
CE71 7th Sem,ENU-203-V,CE10,yes,CE06
CE32 3rd Sem,ENU-301-V,CE05,no,
CE32 3rd Sem,CVU-318-V,CE02,no,
CE52 5th Sem,ENU-303-V,CE10,no,
CE52 5th Sem,ENU-305-V,CE04,yes,CE05
CE72 7th Sem,ENU-401-V,CE02,no,
CE72 7th Sem,ENU-403-V,CE03,no,
CE72 7th Sem,CVU-415-V,CE07,no,
CE72 7th Sem,ENU-409-V,CE06,no,
CE72 7th Sem,ENU-419-V,CE04,no,
