department_code,subject_number,subject_name,room_required,required_lab_category,specific_equipment/software_lab,classes_per_week,max_numb_students,duration
CE,PHU-145-V,Physics (Mechanics),LECTURE HALL,,,3,,1
CE,MTU-147-V,"Mathematics-I (Civil: Calculus, Multivariable Calculus & Linear Algebra)",LECTURE HALL,,,3,,1
CE,MEU-103-V,Engineering Graphics & Design,LECTURE HALL,,,3,,1
CE,CSU-101-V,Programming for Problem solving,LECTURE HALL,,,1,,4
CE,MEU-101-V,Workshop- I,ED HALL,,,1,,4
CE,CSU-103-V,Programming for Problem solving Lab,LAB,Computer lab,,1,,4
CE,PHU-147-V,Physics lab,LAB,BTECH PHY LAB,,1,,4
CE,LSU-241-V,Biology,LAB,BIO LAB,F11,3,,2
CE,ELU-241-V,Basic Electronics,LECTURE HALL,,,3,,1
CE,AEC-112-V,Effective Technical Communication,LECTURE HALL,,,3,,1
CE,CVU-201-V,Engineering Mechanics,LECTURE HALL,,,3,,1
CE,CVU-203-V,Fluid Mechanics,LECTURE HALL,,,3,,1
CE,CVU-205-V,Surveying,LECTURE HALL,,,3,,1
CE,CVU-207-V,Building Materials and Testing,LECTURE HALL,,,3,,1
CE,CVU-209-V,Fluid Mechanics Lab,LAB,Geotechnical Engg. Lab,Geotechnical Engg. Lab,1,,2
CE,CVU-211-V,Survey Lab,LAB,Open Area Ground,Open Area Ground,1,,2
CE,CVU-213-V,Materials Testing Lab,LAB,Materials Testing Labs,Materials Testing Lab,1,,2
CE,VAC-121-V,"Audit Course-1
 Indian Constitution",LECTURE HALL,,,3,,1
CE,CVU-301-V,Railway and Airport Engineering,LECTURE HALL,,,3,,1
CE,CVU-303-V,Structural Analysis,LECTURE HALL,,,3,,1
CE,CVU-305-V,Foundation Engineering,LECTURE HALL,,,3,,1
CE,CVU-307-V,Hydraulic Engineering,LECTURE HALL,,,3,,1
CE,CVU-309-V,Geomatics Engineering,LECTURE HALL,,,3,,1
CE,CVU-311-V,Wastewater Engineering,LECTURE HALL,,,3,,1
CE,CVU-313-V,Hydraulic Engineering Lab,LAB,Materials Testing Lab,Materials Testing Lab,1,,2
CE,CVU-315-V,Wastewater Engineering Lab,LAB,Water Lab,Water Lab,1,,2
CE,MEU-431-V,Computational Analysis and Design Laboratory,LAB,CADD Lab,CADD Lab,1,,2
CE,ESU-201-V,Open Elective - I -  Environmental Science,LECTURE HALL,,,3,,1
CE,CVU-401-V,Construction Planning and Management,LECTURE HALL,,,3,,1
CE,CVU-403-V,Design of Steel Structures,LECTURE HALL,,,3,,1
CE,CVU-405-V,Irrigation Engineering,LECTURE HALL,,,3,,1
CE,CVU-409-V,Elective-V Ground Water Flow and Pollution Modelling,LECTURE HALL,,,3,,1
CE,CVU-411-V,Elective-V - GIS and Remote Sensing,LECTURE HALL,,,3,,1
CE,CVU-417-V,Elective-VI - Disaster Management and Mitigation,LECTURE HALL,,,3,,1
CE,CVU-418-V,Elective-VI - Solid and Hazardous Waste Management,LECTURE HALL,,,3,,1
CE,CVU-433-V,Open Elective - III - Estimation and Costing,LECTURE HALL,,,3,,1
CE,ENU-201-V,Environmental Chemistry,LECTURE HALL,,,3,,1
CE,ENU-203-V,Environmental Chemistry Lab,LAB,Water Lab,Water Lab,1,,2
CE,ENU-301-V,Environmental Microbiology,LECTURE HALL,,,3,,1
CE,CVU-318-V,Solid and Hazardous Waste Management,LECTURE HALL,,,3,,1
CE,ENU-303-V,Air and Noise Pollution Monitoring and Control,LECTURE HALL,,,3,,1
CE,ENU-305-V,Air and Noise Pollution Monitoring and Control Lab,LAB,Water Lab,Water Lab,1,,2
CE,ENU-401-V,Environmental Health and Safety,LECTURE HALL,,,3,,1
CE,ENU-403-V,Global and Regional Environmental Issues,LECTURE HALL,,,3,,1
CE,CVU-415-V,Ground Water Engineering,LECTURE HALL,,,3,,1
CE,ENU-409-V,Elective-IV - Atmospheric Chemistry and Climate Change,LECTURE HALL,,,3,,1
CE,ENU-419-V,Elective-V - Green Infrastructures and Urban Ecology,LECTURE HALL,,,3,,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
