section_id,subject_number,instructor_uid,shared_lab,second_instructor_uid
BCA 1st Sem,CA025,T086,false,
BCA 1st Sem,CA026,T077,false,
BCA 1st Sem,CA027,T082,false,
BCA 1st Sem,CA028,T086,false,
BCA 1st Sem,CA029,GF913,false,
BCA 1st Sem,CA030,T020,false,
BCA 1st Sem,CA031,T080,false,
BCA 1st Sem,CA038,T080,false,
BCA 1st Sem,CA039,T094,false,
BCA 1st Sem,CA042,T081,false,
BCA 3rd Sem,CA001,T071,false,
BCA 3rd Sem,CA002,T071,false,
BCA 3rd Sem,CA003,T078,false,
BCA 3rd Sem,CA004,T075,false,
BCA 3rd Sem,CA019,T076,false,
BCA 3rd Sem,CA020,T078,false,
BCA 3rd Sem,CA031,T080,false,
BCA 3rd Sem,CA032,T062,false,
BCA 3rd Sem,CA042,T081,false,
BCA 5th Sem,CA010,T072,false,
BCA 5th Sem,CA021,T075,false,
BCA 5th Sem,CA022,T084,true,z0002
BCA 5th Sem,CA023,T077,false,
BCA 5th Sem,CA024,GF913,false,
BCA 5th Sem,CA033,T079,false,
BCA 5th Sem,CA034,T073,false,
BSc AM 1st Sem,CA035,T076,false,
BSc AM 1st Sem,CA036,T076,false,
BSc AM 1st Sem,CA038,T080,false,
BSc AM 1st Sem,CA042,T081,false,
BSc AM 1st Sem,CA045,T090,false,
BSc AM 1st Sem,CA046,T090,false,
BSc AM 1st Sem,CA070,T012,false,
BSc AM 1st Sem,CA073,T080,false,
BSc AM 3rd Sem,CA022,T076,false,
BSc AM 3rd Sem,CA041,T080,false,
BSc AM 3rd Sem,CA042,T081,false,
BSc AM 3rd Sem,CA051,GF909,false,
BSc AM 3rd Sem,CA053,T091,false,
BSc AM 3rd Sem,CA068,T090,false,
BSc AM 3rd Sem,CA074,T076,false,
BSc AM 5th Sem,CA054,GF911,false,
BSc AM 5th Sem,CA055,GF911,false,
BSc AM 5th Sem,CA056,GF912,false,
BSc AM 5th Sem,CA057,T089,false,
BSc AM 5th Sem,CA061,T087,false,
BSc AM 5th Sem,CA062,T087,false,
BSc AM 5th Sem,CA063,T087,false,
BSc AM 5th Sem,CA080,T076,false,
CE DS 1st Sem,CS215,T066,false,
CE DS 1st Sem,CS216,T065,false,
CE DS 1st Sem,CS217,T059,false,
CE DS 1st Sem,CS218,T068,false,
CE DS 1st Sem,CS219,T062,false,
CE DS 1st Sem,CS220,T055,false,
CE DS 1st Sem,CS221,T063,false,
CE DS 1st Sem,CS222,T093,false,
CE Datascience 3rd Sem,CS018,T025,false,
CE Datascience 3rd Sem,CS019,T005,false,
CE Datascience 3rd Sem,CS020,T007,false,
CE Datascience 3rd Sem,CS022,T015,false,
CE Datascience 3rd Sem,CS023,T015,false,
CE Datascience 3rd Sem,CS025,T017,false,
CE Datascience 3rd Sem,CS035,T012,false,
CE Datascience 3rd Sem,CS036,T095,false,
CE Datascience 3rd Sem,CS998,GF903,false,
CE Datascience 5th Sem,CS003,GF904,false,
CE Datascience 5th Sem,CS008,GF903,false,
CE Datascience 5th Sem,CS009,T044,false,
CE Datascience 5th Sem,CS012,T035,false,
CE Datascience 5th Sem,CS031,T047,false,
CE Datascience 5th Sem,CS032,T014,false,
CE Datascience 5th Sem,CS033,T043,false,
CE Datascience 5th Sem,CS034,T043,false,
CE Datascience 5th Sem,CS038,T020,false,
CE Hindi 1st Sem,CS215,T022,false,
CE Hindi 1st Sem,CS216,T059,false,
CE Hindi 1st Sem,CS217,T067,false,
CE Hindi 1st Sem,CS218,T062,false,
CE Hindi 1st Sem,CS219,T068,false,
CE Hindi 1st Sem,CS220,T061,false,
CE Hindi 1st Sem,CS221,T045,false,
CE Hindi 1st Sem,CS222,T038,false,
CE Hindi 3rd Sem,CS001,T040,false,
CE Hindi 3rd Sem,CS002,T003,false,
CE Hindi 3rd Sem,CS016,T004,false,
CE Hindi 3rd Sem,CS017,T004,false,
CE Hindi 3rd Sem,CS018,T037,false,
CE Hindi 3rd Sem,CS019,T037,true,z0001
CE Hindi 3rd Sem,CS020,T007,false,
CE Hindi 3rd Sem,CS025,T017,false,
CE Hindi 3rd Sem,CS998,T026,false,
CE Hindi 5th Sem,CS005,GF908,false,
CE Hindi 5th Sem,CS009,T044,false,
CE Hindi 5th Sem,CS013,GF900,false,
CE Hindi 5th Sem,CS014,GF900,false,
CE Hindi 5th Sem,CS024,T028,false,
CE Hindi 5th Sem,CS029,GF901,false,
CE Hindi 5th Sem,CS030,T048,false,
CE Hindi 5th Sem,CS037,T042,false,
CE Hindi 5th Sem,CS038,T020,false,
CE Hindi 5th Sem,CS200,GF902,false,
CE Hindi 7th Sem,CS004,GF901,false,
CE Hindi 7th Sem,CS007,GF905,false,
CE Hindi 7th Sem,CS010,GF904,false,
CE Hindi 7th Sem,CS011,T042,false,
CE Hindi 7th Sem,CS026,T036,false,
CE Hindi 7th Sem,CS028,T046,false,
CE-DS 7th Sem,CS010,T010,false,
CE-DS 7th Sem,CS026,T045,false,
CE-DS 7th Sem,CS202,T028,false,
CE-DS 7th Sem,CS203,GF907,false,
CE-DS 7th Sem,CS204,GF903,false,
CE-DS 7th Sem,CS205,T018,false,
CE11 1st Sem,CS215,T070,false,
CE11 1st Sem,CS216,T054,false,
CE11 1st Sem,CS217,T069,false,
CE11 1st Sem,CS218,T068,false,
CE11 1st Sem,CS219,T062,false,
CE11 1st Sem,CS220,T057,false,
CE11 1st Sem,CS221,T061,false,
CE11 1st Sem,CS222,T093,false,
CE12 1st Sem,CS215,T056,false,
CE12 1st Sem,CS216,T065,false,
CE12 1st Sem,CS217,T060,false,
CE12 1st Sem,CS218,T062,false,
CE12 1st Sem,CS219,T068,false,
CE12 1st Sem,CS220,T036,false,
CE12 1st Sem,CS221,T016,false,
CE12 1st Sem,CS222,T038,false,
CE31 3rd Sem,CS001,T033,false,
CE31 3rd Sem,CS002,T040,false,
CE31 3rd Sem,CS016,T004,false,
CE31 3rd Sem,CS017,T008,false,
CE31 3rd Sem,CS018,T018,false,
CE31 3rd Sem,CS019,T037,false,
CE31 3rd Sem,CS020,T007,false,
CE31 3rd Sem,CS025,T022,false,
CE31 3rd Sem,CS998,T028;T052,false,
CE32 3rd Sem,CS001,T011,false,
CE32 3rd Sem,CS002,T033,false,
CE32 3rd Sem,CS016,T002,false,
CE32 3rd Sem,CS017,T002,false,
CE32 3rd Sem,CS018,T001,false,
CE32 3rd Sem,CS019,T018,false,
CE32 3rd Sem,CS020,T007,false,
CE32 3rd Sem,CS025,T023,false,
CE32 3rd Sem,CS998,T052,false,
CE51 5th Sem,CS005,GF908,false,
CE51 5th Sem,CS009,T044,false,
CE51 5th Sem,CS013,T025,false,
CE51 5th Sem,CS014,GF900,false,
CE51 5th Sem,CS024,T032,false,
CE51 5th Sem,CS029,T051,false,
CE51 5th Sem,CS030,T039,false,
CE51 5th Sem,CS037,T042,false,
CE51 5th Sem,CS038,T020,false,
CE51 5th Sem,CS200,T006,false,
CE52 5th Sem,CS005,GF908,false,
CE52 5th Sem,CS009,T044,false,
CE52 5th Sem,CS013,T015,false,
CE52 5th Sem,CS014,T019,false,
CE52 5th Sem,CS024,T021,false,
CE52 5th Sem,CS029,GF901,false,
CE52 5th Sem,CS030,T051,false,
CE52 5th Sem,CS037,T042,false,
CE52 5th Sem,CS038,T020,false,
CE52 5th Sem,CS200,T034,false,
CE71 7th Sem,CS004,GF901,false,
CE71 7th Sem,CS007,GF905,false,
CE71 7th Sem,CS010,GF904,false,
CE71 7th Sem,CS011,T039,false,
CE71 7th Sem,CS026,T036,false,
CE71 7th Sem,CS028,T046,false,
CE72 7th Sem,CS004,T021,false,
CE72 7th Sem,CS007,T052,false,
CE72 7th Sem,CS010,T048,false,
CE72 7th Sem,CS011,T032,false,
CE72 7th Sem,CS026,T013,false,
CE72 7th Sem,CS028,T046,false,
IT 1st Sem,CS215,T066,false,
IT 1st Sem,CS216,T058,false,
IT 1st Sem,CS217,T053,false,
IT 1st Sem,CS218,T068,false,
IT 1st Sem,CS219,T068,false,
IT 1st Sem,CS220,T064,false,
IT 1st Sem,CS221,T055,false,
IT 1st Sem,CS222,T038,false,
IT 3rd Sem,AES_LAB,T003,false,
IT 3rd Sem,CS001,T011,false,
IT 3rd Sem,CS016,T008,false,
IT 3rd Sem,CS017,T041,false,
IT 3rd Sem,CS018,T001,false,
IT 3rd Sem,CS019,T025,false,
IT 3rd Sem,CS020,T007,false,
IT 3rd Sem,CS025,T023,false,
IT 3rd Sem,CS998,T010,false,
IT 5th Sem,CS006,T010,false,
IT 5th Sem,CS009,T044,false,
IT 5th Sem,CS013,T019,false,
IT 5th Sem,CS014,T027,false,
IT 5th Sem,CS020,T007,false,
IT 5th Sem,CS029,T029,false,
IT 5th Sem,CS030,T029,false,
IT 5th Sem,CS037,T042,false,
IT 5th Sem,CS038,T020,false,
IT 5th Sem,CS201,GF903,false,
IT 7th Sem,CS004,T021,false,
IT 7th Sem,CS021,GF908,false,
IT 7th Sem,CS024,T032,false,
IT 7th Sem,CS026,T013,false,
IT 7th Sem,CS027,GF906,false,
IT 7th Sem,CS039,T005,false,
MCA 1st Bridge,CA001,T071,false,
MCA 1st Bridge,CA002,T071,false,
MCA 1st Bridge,CA019,T083,false,
MCA 1st Bridge,CA029,GF913,false,
MCA 1st Bridge,CA076,T074,false,
MCA 1st Bridge,CA077,T075,false,
MCA 1st Bridge,CA078,T074,false,
MCA 1st Sem,CA001,T071,false,
MCA 1st Sem,CA002,T071,false,
MCA 1st Sem,CA003,GF910,false,
MCA 1st Sem,CA004,T075,false,
MCA 1st Sem,CA005,T074,false,
MCA 1st Sem,CA006,T074,false,
MCA 1st Sem,CA007,T083,false,
MCA 1st Sem,CA008,T077,false,
MCA 1st Sem,CA009,T077,false,
MCA 1st Sem,CA043,T086,false,
MCA 1st Sem,CA044,T080,false,
MCA 3rd Sem,CA011,T073,false,
MCA 3rd Sem,CA012,T073,false,
MCA 3rd Sem,CA013,T073,false,
MCA 3rd Sem,CA014,T082,false,
MCA 3rd Sem,CA015,T082,false,
MCA 3rd Sem,CA016,T083,false,
MCA 3rd Sem,CA017,T083,false,
MCA 3rd Sem,CA018,T086,false,
