section_id,subject_code,group_count,elective_section_id
CSE11 1ST SEM,MTU-145-V,1,
CSE11 1ST SEM,CHU-141-V,1,
CSE11 1ST SEM,CHU-142-V,2,
CSE11 1ST SEM,ENG-101-V,1,
CSE11 1ST SEM,ENG-103-V,2,
CSE11 1ST SEM,ELU-101-V,1,
CSE11 1ST SEM,ELU-103-V,2,
CSE11 1ST SEM,MEU-101-V,3,
,,,
CSE12 1ST SEM,MTU-145-V,1,
CSE12 1ST SEM,CHU-141-V,1,
CSE12 1ST SEM,CHU-142-V,2,
CSE12 1ST SEM,ENG-101-V,1,
CSE12 1ST SEM,ENG-103-V,2,
CSE12 1ST SEM,ELU-101-V,1,
CSE12 1ST SEM,ELU-103-V,2,
CSE12 1ST SEM,MEU-101-V,3,
,,,
CSE13 1ST  SEM,MTU-145-V,1,
CSE13 1ST  SEM,CHU-141-V,1,
CSE13 1ST  SEM,CHU-142-V,2,
CSE13 1ST  SEM,ENG-101-V,1,
CSE13 1ST  SEM,ENG-103-V,2,
CSE13 1ST  SEM,ELU-101-V,1,
CSE13 1ST  SEM,ELU-103-V,2,
CSE13 1ST  SEM,MEU-101-V,3,
,,,
CSE 1ST DS,MTU-145-V,1,
CSE 1ST DS,CHU-141-V,1,
CSE 1ST DS,CHU-142-V,2,
CSE 1ST DS,ENG-101-V,1,
CSE 1ST DS,ENG-103-V,2,
CSE 1ST DS,ELU-101-V,1,
CSE 1ST DS,ELU-103-V,2,
CSE 1ST DS,MEU-101-V,3,
,,,
CSE 1ST RL,MTU-145-V,1,
CSE 1ST RL,CHU-141-V,1,
CSE 1ST RL,CHU-142-V,2,
CSE 1ST RL,ENG-101-V,1,
CSE 1ST RL,ENG-103-V,2,
CSE 1ST RL,ELU-101-V,1,
CSE 1ST RL,ELU-103-V,2,
CSE 1ST RL,MEU-101-V,3,
,,,
CE31 3rd Sem,ESC-301,1,
CE31 3rd Sem,PCC-CS-301,1,
CE31 3rd Sem,ESC-302,1,
CE31 3rd Sem,BSC-301,1,
CE31 3rd Sem,HSMC-01,1,
CE31 3rd Sem,PCC-CS-302,2,
CE31 3rd Sem,ESC-303(31),2,
CE31 3rd Sem,ESC-304(31),2,
CE31 3rd Sem,PCC-CS-303,2,
,,,
CE32 3rd  Sem,ESC-301,1,
CE32 3rd  Sem,PCC-CS-301,1,
CE32 3rd  Sem,ESC-302,1,
CE32 3rd  Sem,BSC-301,1,
CE32 3rd  Sem,HSMC-01,1,
CE32 3rd  Sem,PCC-CS-302,2,
CE32 3rd  Sem,ESC-303(32)-G1,1,
CE32 3rd  Sem,ESC-303(32)-G2,1,
CE32 3rd  Sem,ESC-304(32),2,
CE32 3rd  Sem,PCC-CS-303,2,
,,,
CE (RL) 3rd Sem,ESC-301,1,
CE (RL) 3rd Sem,PCC-CS-301,1,
CE (RL) 3rd Sem,ESC-302,1,
CE (RL) 3rd Sem,BSC-301,1,
CE (RL) 3rd Sem,HSMC-01,1,
CE (RL) 3rd Sem,PCC-CS-302,1,
CE (RL) 3rd Sem,ESC-303(CERL),1,
CE (RL) 3rd Sem,ESC-304(RL),1,
CE (RL) 3rd Sem,PCC-CS-303,1,
,,,
CE DS  3rd Sem,BSC-DS-301,1,
