saved_timetable_id,section_id,subject_number,subject_name,required_count,scheduled_count,missing_count
1,CE (RL) 3rd Sem,PCC-CS-301,Data Structures& Algorithms,3,0,3
1,CE (RL) 3rd Sem,HSMC-01,Effective Technical Communication,3,0,3
1,CE (RL) 3rd Sem,ESC-303,Analog Electronic Circuits Lab,2,0,2
1,CE (RL) 3rd Sem,ESC-304,Digital Electronics Lab,2,0,2
1,CE (RL) 5th Sem,PCC-CS-504,Database Management Systems Lab,2,0,2
1,CE DS  3rd Sem,PCC-CS-301,Data Structures& Algorithms,3,0,3
1,CE DS  3rd Sem,HSMC-01,Effective Technical Communication,3,0,3
1,CE DS  3rd Sem,PCC- DS-301,Fundamentals to Database Systems,3,2,1
1,CE31 3rd Sem,PCC-CS-301,Data Structures& Algorithms,3,0,3
1,CE31 3rd Sem,HSMC-01,Effective Technical Communication,3,0,3
1,CE31 3rd Sem,ESC-303,Analog Electronic Circuits Lab,2,0,2
1,CE31 3rd Sem,ESC-304,Digital Electronics Lab,2,0,2
1,CE32 3rd  Sem,PCC-CS-301,Data Structures& Algorithms,3,0,3
1,CE32 3rd  Sem,HSMC-01,Effective Technical Communication,3,0,3
1,CE32 3rd  Sem,ESC-303,Analog Electronic Circuits Lab,2,0,2
1,CE32 3rd  Sem,ESC-304,Digital Electronics Lab,2,0,2
1,CE51 5th Sem,PCC-CS-505,Object Oriented Programming Lab,2,0,2
1,CE51 5th Sem,PCC-CS-504,Database Management Systems Lab,2,0,2
1,CE52 5th Sem,PCC-CS-504,Database Management Systems Lab,2,0,2
1,CE71 7th Sem,PEC-CS-S-701(I),Advanced Operating Systems,3,2,1
1,CSE 1ST DS,CHU-142-V,Chemistry Lab,2,0,2
1,CSE 1ST DS,ELU-103-V,Basics of Electrical Engineering Lab,2,0,2
1,CSE 1ST RL,CHU-142-V,Chemistry Lab,2,0,2
1,CSE 1ST RL,ELU-103-V,Basics of Electrical Engineering Lab,2,0,2
1,CSE11 1ST SEM,CHU-142-V,Chemistry Lab,2,0,2
1,CSE11 1ST SEM,ELU-103-V,Basics of Electrical Engineering Lab,2,0,2
1,CSE12 1ST SEM,CHU-142-V,Chemistry Lab,2,0,2
1,CSE12 1ST SEM,ENG-101-V,English,2,1,1
1,CSE12 1ST SEM,ELU-103-V,Basics of Electrical Engineering Lab,2,0,2
1,CSE13 1ST  SEM,CHU-142-V,Chemistry Lab,2,0,2
1,CSE13 1ST  SEM,ELU-101-V,Basics of Electrical Engineering,4,3,1
1,CSE13 1ST  SEM,ELU-103-V,Basics of Electrical Engineering Lab,2,0,2
1,IT 3rd Sem,PCC-CS-301,Data Structures& Algorithms,3,0,3
1,IT 3rd Sem,ESC-303,Analog Electronic Circuits Lab,2,0,2
1,IT 3rd Sem,ESC-304,Digital Electronics Lab,2,0,2
1,IT 5th Sem,HSMC-01,Effective Technical Communication,3,0,3
1,IT 5th Sem,PCC-CS-504,Database Management Systems Lab,2,0,2
1,IT 7th Sem,HSMC-03,Organizational Behaviour,3,2,1
1,IT 7th Sem,PEC-CS-D-501,Basics of Machine Learning,3,0,3
1,M.Tech CSE (1st ),MCS-18-104,Advanced Data Structures Lab,1,0,1
