section_id,subject_number,instructor_uid,shared_lab,second_instructor_uid
DM-A 1st Sem,DM001,DT01,false,
DM-A 1st Sem,DM002,DT02,false,
DM-A 1st Sem,DM003,DT03,false,
DM-A 1st Sem,DM004,DT04,false,
DM-A 1st Sem,DM005,DT05,false,
DM-A 1st Sem,DM006,DT01,false,
DM-A 1st Sem,DM007,DT05,false,
DM-B 1st Sem,DM001,DT01,false,
DM-B 1st Sem,DM002,DT02,false,
DM-B 1st Sem,DM003,DT03,false,
DM-B 1st Sem,DM004,DT04,false,
DM-B 1st Sem,DM005,DT06,false,
DM-B 1st Sem,DM006,DT02,false,
DM-B 1st Sem,DM007,DT06,false,
DM-C 1st Sem,DM001,DT03,false,
DM-C 1st Sem,DM002,DT04,false,
DM-C 1st Sem,DM003,DT05,false,
DM-C 1st Sem,DM004,DT06,false,
DM-C 1st Sem,DM005,DT01,false,
DM-C 1st Sem,DM006,DT03,false,
DM-C 1st Sem,DM007,DT01,false,
