section_id,subject_code,group_count,elective_section_id
EL 1ST SEM,PHU-153-V,1,
EL 1ST SEM,MTU-143-V,1,
EL 1ST SEM,MTU-143-V (T),2,
EL 1ST SEM,MEU-103-V,1,
EL 1ST SEM,CSU-101-V,1,
EL 1ST SEM,MEU-101-V,1,
EL 1ST SEM,PHU-155-V,2,
EL 1ST SEM,CSU-103-V,2,
EL 1ST SEM,BIOEL1,1,
EL 1ST SEM,DSC-EL,2,
EL 3RD SEM,ELU-201-V,1,
EL 3RD SEM,ELU-201-V (T),2,
EL 3RD SEM,ELU-203-V,1,
EL 3RD SEM,ELU-205-V,1,
EL 3RD SEM,ELU-207-V,1,
EL 3RD SEM,ELU-207-V (T),2,
EL 3RD SEM,OEU-201-V,1,
EL 3RD SEM,OEU-201-V (T),2,
EL 3RD SEM,MTU-217-V,1,
EL 3RD SEM,MTU-217-V (T),2,
EL 3RD SEM,VAC-112-V,1,
EL 3RD SEM,ELU-209-V,4,
EL 3RD SEM,ELU-211-V,4,
EL 3RD SEM,ELU-213-V,2,
EL 5TH SEM,ELU-301-V,1,
EL 5TH SEM,ELU-303-V,1,
EL 5TH SEM,ELU-305-V,1,
EL 5TH SEM,LSU-241-V,1,
EL 5TH SEM,ELU-317-V,1,
EL 5TH SEM,OEU-264-V,1,
EL 5TH SEM,ELU-307-V,4,
EL 5TH SEM,ELU-309-V,4,
EL 5TH SEM,ELU-311-V,4,
EL 5TH SEM,ELU-313-V,2,
EL 7TH SEM,ELU-407-V,1,
EL 7TH SEM,ELU-411-V,1,
EL 7TH SEM,OEU-260-V,1,
EL 7TH SEM,OEU-220-V,1,
EL 7TH SEM,ELOE-104,1,
EL 7TH SEM,OEU-224-V,1,
EL 7TH SEM,ELU-403-V,2,
EL 7TH SEM,OEU-206-V,1,
MPED 1ST SEM,MPED101,1,
MPED 1ST SEM,MPED102,1,
MPED 1ST SEM,RM101,1,
MPED 1ST SEM,MPED151,1,
MPED 1ST SEM,MPED152,1,
MPED 1ST SEM,AUD01,1,
MPED 1ST SEM,MPED103,1,
MPED 1ST SEM,MPS112A,1,
MPED 3RD SEM,MPS302A,1,
MPED 3RD SEM,MOEL06,1,
Minor 1st Sem,MD-EV-502,1,
Minor 1st Sem,MD-EV-501,1,
Minor 1st Sem,MD-EV-551,1,
Minor 3rd Sem,MD-EV-701,1,
