room_number,department_code,room_seating_capacity,room_type,lab_category
T1(EE),EE,30,LECTURE HALL,
T2(EE),EE,70,LECTURE HALL,
T3(EE),EE,70,LECTURE HALL,
T4(EE),EE,70,LECTURE HALL,
T5(EE),EE,70,LECTURE HALL,
S8(EE),EE,70,LECTURE HALL,
NB1(EE),EE,70,LECTURE HALL,
NB2(EE),EE,70,LECTURE HALL,
NB3(EE),EE,70,LECTURE HALL,
Comm1W/S(EE),EE,35,LAB,Comm1W/S(EE)
Comm2W/S(EE),EE,35,LAB,Comm2W/S(EE)
Computer lab(EE) ,EE,35,LAB,Computer lab(EE) 
CS Lab(EE),EE,35,LAB,CS Lab(EE)
EL1 W/S(EE),EE,35,LAB,EL1 W/S(EE)
EL2 W/S(EE),EE,35,LAB,EL2 W/S(EE)
MPI W/S(EE),EE,35,LAB,MPI W/S(EE)
PCI W/S(EE),EE,35,LAB,PCI W/S(EE)
VLSI Lab(EE),EE,35,LAB,VLSI Lab(EE)
MWR Lab(EE),EE,35,LAB,MWR Lab(EE)
Embedded Lab(EE),EE,35,LAB,Embedded Lab(EE)
IOT Lab(EE),EE,20,LAB,IOT Lab(EE)
Project Lab(EE),EE,35,LAB,Project Lab(EE)
DRAWING HALL,MECH,80,ED HALL,ED HALL
