section_id,subject_number,group_count,elective_section_id
ENC 1st Sem,BSC101C,,
ENC 1st Sem,BSC103 D,,
ENC 1st Sem,ESC102,,
ENC 1st Sem,ESC103,,
ENC 1st Sem,LSEE241,,
ENC 1st Sem,ESC104,3,
ENC 1st Sem,BSC104C,2,
ENC 1st Sem,ESC105,2,
ECE 1st Sem,BSC101C,,
ECE 1st Sem,BSC103 D,,
ECE 1st Sem,ESC102,,
ECE 1st Sem,ESC103,,
ECE 1st Sem,LSEE241,,
ECE 1st Sem,ESC104,3,
ECE 1st Sem,BSC104C,2,
ECE 1st Sem,ESC105,2,
EE 1st Sem,BSC101C,,
EE 1st Sem,BSC103 D,,
EE 1st Sem,ESC102,,
EE 1st Sem,ESC103,,
EE 1st Sem,LSEE241,,
EE 1st Sem,ESC104,3,
EE 1st Sem,BSC104C,2,
EE 1st Sem,ESC105,2,
ENC 3rd Sem,ECP301,,
ENC 3rd Sem,ECP302,,
ENC 3rd Sem,ECP303,,
ENC 3rd Sem,ECP304,,
ENC 3rd Sem,ECP305,,
ENC 3rd Sem,BS301,,
ENC 3rd Sem,MC01/MC02,,
ENC 3rd Sem,ECP351--ECP352--ECP353-1,3,
ENC 3rd Sem,ECP351--ECP352--ECP353-2,3,
ENC 3rd Sem,ECP351--ECP352--ECP353-3,3,
ECE 3rd Sem,EC301,,
ECE 3rd Sem,EC302,,
ECE 3rd Sem,EC304,,
ECE 3rd Sem,ESC01,,
ECE 3rd Sem,BS301,,
ECE 3rd Sem,MC01/MC02,,
ECE 3rd Sem,EC351--EC352--EC353-1,3,
ECE 3rd Sem,EC351--EC352--EC353-2,3,
ECE 3rd Sem,EC351--EC352--EC353-3,3,
EE 3rd Sem,EEN 301,,
EE 3rd Sem,ECP302,,
EE 3rd Sem,ECC01,,
EE 3rd Sem,ECP305,,
EE 3rd Sem,BS301,,
EE 3rd Sem,MC01/MC02,,
EE 3rd Sem,ESC01,,
EE 3rd Sem,EE351--EE52--EE53-1,3,
EE 3rd Sem,EE351--EE52--EE53-2,3,
EE 3rd Sem,EE351--EE52--EE53-3,3,
ENC 5th Sem,ECP501,,
ENC 5th Sem,CS-501,,
ENC 5th Sem,PCC-CS-403,,
ENC 5th Sem,ECP502,,
ENC 5th Sem,MC03,,
ENC 5th Sem,OEL502,,
ENC 5th Sem,CS 504--ECP 552-1,2,
ENC 5th Sem,CS 504--ECP 552-2,2,
ECE 5th Sem,ECC02,,
ECE 5th Sem,EC502,,
ECE 5th Sem,ECC04,,
ECE 5th Sem,ECEL501,,
ECE 5th Sem,MC03,,
ECE 5th Sem,OEL503,,
ECE 5th Sem,ECC52--ECC53-1,2,
ECE 5th Sem,ECC52--ECC53-2,2,
EE 5th Sem,EEN501,,
EE 5th Sem,EEN502,,
EE 5th Sem,EC602,,
EE 5th Sem,EEN-EL1-502,,
EE 5th Sem,MC03,,
EE 5th Sem,EEN-OE1-502,,
EE 5th Sem,EEN551--EEN552--EC652--EE-IOT-551-1,4,
EE 5th Sem,EEN551--EEN552--EC652--EE-IOT-551-2,4,
EE 5th Sem,EEN551--EEN552--EC652--EE-IOT-551-3,4,
EE 5th Sem,EEN551--EEN552--EC652--EE-IOT-551-4,4,
EE 5th Sem,EEN553,2,
EE 5th Sem,EE-IOT-501,,
ENC 7th Sem,ECPEL703,,
ENC 7th Sem,ECPEL707,,
ENC 7th Sem,ECPEL709,,
ENC 7th Sem,HSMC01,,
ENC 7th Sem,OEC-CS-602(I),,
ENC 7th Sem,OEL 708,,
ENC 7th Sem,ECP751,,
ENC 7th Sem,ESP752,2,
ECE 7th Sem,ECEL701,,
ECE 7th Sem,ECEL704,,
ECE 7th Sem,ECEL709,,
ECE 7th Sem,OEC-CS-602(I),,
ECE 7th Sem,OEL710,,
ECE 7th Sem,ECP701,,
ECE 7th Sem,ES751,2,
EE 7th Sem,ECP601,,
EE 7th Sem,EEN-EL4-701,,
EE 7th Sem,EEN-EL5-704,,
EE 7th Sem,OEL701,,
EE 7th Sem,OEL603,,
EE 7th Sem,EEN753,,
EE 7th Sem,EE-IOT-701,,
EE 7th Sem,EE-IOT-EL-701,,
EE 7th Sem,EE-IOT-751--EEN751-1,2,
EE 7th Sem,EE-IOT-751--EEN751-2,2,
EE 7th Sem,EE-IOT-752,,
