section_id,subject_code,Teacher_id,is_shared_lab,second_teacher_id
ENC 1st Sem,BSC101C,PHY08,,
ENC 1st Sem,BSC103 D,MATH02,,
ENC 1st Sem,ESC102,MECH15;MECH19;MECH18,,
ENC 1st Sem,ESC103,CSE49,,
ENC 1st Sem,LSEE241,LSGF1,,
ENC 1st Sem,ESC104,WS01;WS02;WS03,,
ENC 1st Sem,BSC104C,PHY09;PHY11,,
ENC 1st Sem,ESC105,CSE49;CSE49,,
,,,,
ECE 1st Sem,BSC101C,PHY16,,
ECE 1st Sem,BSC103 D,MATH02,,
ECE 1st Sem,ESC102,MECH12;MECH10;MECH23,,
ECE 1st Sem,ESC103,CSE34,,
ECE 1st Sem,LSEE241,LSGF2,,
ECE 1st Sem,ESC104,WS01;WS02;WS03,,
ECE 1st Sem,BSC104C,PHY15;PHY13,,
ECE 1st Sem,ESC105,CSE34;CSE34,,
,,,,
EE 1st Sem,BSC101C,PHY08,,
EE 1st Sem,BSC103 D,MATH03,,
EE 1st Sem,ESC102,MECH23;MECH19;MECH24,,
EE 1st Sem,ESC103,CSE41,,
EE 1st Sem,LSEE241,LSGF3,,
EE 1st Sem,ESC104,WS01;WS02;WS03,,
EE 1st Sem,BSC104C,PHY16;PHY02,,
EE 1st Sem,ESC105,CSE41;CSE41,,
,,,,
ENC 3rd Sem,ECP301,EE12,,
ENC 3rd Sem,ECP302,EE09,,
ENC 3rd Sem,ECP303,CSE51,,
ENC 3rd Sem,ECP304,EE10,,
ENC 3rd Sem,ECP305,EE22,,
ENC 3rd Sem,BS301,MATH12,,
ENC 3rd Sem,MC01/MC02,EE26,,
ENC 3rd Sem,ECP351--ECP352--ECP353-1,CSE51;EE12;EE03,yes,;;EE24
ENC 3rd Sem,ECP351--ECP352--ECP353-2,CSE51;EE12;EE05,yes,;EE23;EE27
ENC 3rd Sem,ECP351--ECP352--ECP353-3,CSE51;EE12;EE20,yes,;EE23;
,,,,
ECE 3rd Sem,EC301,EE16,,
ECE 3rd Sem,EC302,EE17,,
ECE 3rd Sem,EC304,EE11,,
ECE 3rd Sem,ESC01,MECH20,,
ECE 3rd Sem,BS301,MATH13,,
ECE 3rd Sem,MC01/MC02,EE26,,
,,,,
ECE 3rd Sem,EC351--EC352--EC353-1,EE16;EE18;EE22,yes,EE06;;EE23
ECE 3rd Sem,EC351--EC352--EC353-2,EE16;EE07;EE22,no,;;;
ECE 3rd Sem,EC351--EC352--EC353-3,EE09;EE07;EE22,yes,EE10;;
,,,,
EE 3rd Sem,EEN 301,EE05,,
EE 3rd Sem,ECP302,EE14,,
EE 3rd Sem,ECC01,EE03,,
EE 3rd Sem,ECP305,EE11,,
EE 3rd Sem,BS301,MATH13,,
EE 3rd Sem,MC01/MC02,EE26,,
EE 3rd Sem,ESC01,MECH23,,
EE 3rd Sem,EE351--EE52--EE53-1,EE14;EE05;EE11,,;EE26;
EE 3rd Sem,EE351--EE52--EE53-2,EE14;EE05;EE22,,EE16;EE19;EE11
EE 3rd Sem,EE351--EE52--EE53-3,EE14;EE05;EE22,,EE06;;EE21
,,,,
ENC 5th Sem,ECP501,EE12,,
ENC 5th Sem,CS-501,CSE37,,
ENC 5th Sem,PCC-CS-403,CSE09,,
ENC 5th Sem,ECP502,EE18,,
ENC 5th Sem,MC03,ES07,,
ENC 5th Sem,OEL502,EE08,,
ENC 5th Sem,CS 504--ECP 552-1,CSE37;EE18,yes,;EE07
ENC 5th Sem,CS 504--ECP 552-2,CSE37;EE18,yes,;EE07
,,,,
ECE 5th Sem,ECC02,EE06,,
ECE 5th Sem,EC502,EE28,,
ECE 5th Sem,ECC04,EE09,,
ECE 5th Sem,ECEL501,EE07,,
ECE 5th Sem,MC03,ES07,,
ECE 5th Sem,OEL503,EE02,,
ECE 5th Sem,ECC53--EC52-1,EE09;EE06,yes,;EE13
ECE 5th Sem,ECC53--EC52-2,EE09;EE06,yes,;EE13
,,,,
EE 5th Sem,EEN501,EE19,,
EE 5th Sem,EEN502,EE01,,
EE 5th Sem,EC602,EE04,,
EE 5th Sem,EEN-EL1-502,EE02,,
EE 5th Sem,MC03,ES07,,
EE 5th Sem,EEN-OE1-502,MATH16,,
EE 5th Sem,EEN551--EEN552--EC652--EE-IOT-551-1,EE08;EE01;EE04;EE17,yes,EE19;EE25;EE11;
EE 5th Sem,EEN551--EEN552--EC652--EE-IOT-551-2,EE08;EE01;EE04;EE17,yes,;EE13;EE11;EE02
EE 5th Sem,EEN551--EEN552--EC652--EE-IOT-551-3,EE02;EE13;EE04;EE17,yes,;;;EE02
EE 5th Sem,EEN551--EEN552--EC652--EE-IOT-551-4,EE19;EE01;EE04;EE17,yes,;EE13;EE11;EE02
EE 5th Sem,EE-IOT-501,EE17,,
EE 5th Sem,EEN553,EE32;EE34,,
,,,,
ENC 7th Sem,ECPEL703,CSE48,,
ENC 7th Sem,ECPEL707,EE23,,
ENC 7th Sem,ECPEL709,CSE36,,
ENC 7th Sem,HSMC01,LL08,,
ENC 7th Sem,OEC-CS-602(I),MS17,,
ENC 7th Sem,OEL 708,EE18,,
ENC 7th Sem,ECP751,EE39,,
ENC 7th Sem,ESP752,CSE33;CSE33,,
,,,,
ECE 7th Sem,ECEL701,EE05,,
ECE 7th Sem,ECEL704,EE20,,
ECE 7th Sem,ECEL709,EE06,,
ECE 7th Sem,OEC-CS-602(I),MS17,,
ECE 7th Sem,OEL710,CSE38,,
ECE 7th Sem,ECP701,EE39,,
ECE 7th Sem,ES751,EE31;EE34,,
 ,,,,
EE 7th Sem,ECP601,EE20,,
EE 7th Sem,EEN-EL4-701,EE24,,
EE 7th Sem,EEN-EL5-704,EE08,,
EE 7th Sem,OEL701,MS18,,
EE 7th Sem,OEL603,EE23,,
EE 7th Sem,EEN753,EE39,,
EE 7th Sem,EE-IOT-701,CSE49,,
EE 7th Sem,EE-IOT-EL-701,CSE31,,
EE 7th Sem,EE-IOT-751--EEN751-1,CSE49;EE08,,
EE 7th Sem,EE-IOT-751--EEN751-2,CSE49;EE08,,
EE 7th Sem,EE-IOT-752,EE39,,
