department_code,subject_number,subject_name,room_required,lab_category_required,specific_equipment/software_lab(null accepted),classes_per_week,max_numb_students,duration 
EE,BSC101C,Physics (Waves and Optics),LECTURE HALL,,,3,,1
EE,BSC103 D,Mathematics-I (Calculus & Linear Algebra),LECTURE HALL,,,4,,1
EE,ESC102,Engineering Graphics & Design,ED HALL,DRAWING HALL,,1,,4
EE,ESC103,Programming for Problem solving,LECTURE HALL,,,3,,1
EE,LSEE241,Biology,LECTURE HALL,,,2,,1
EE,ESC104,Workshop- I,LAB,WS-1,,1,,4
EE,BSC104C,Physics (Waves and Optics) Lab,LAB,Btech PHY LAB,,1,,2
EE,ESC105,Programming for Problem solving Lab,LAB,Computer Lab,,1,,4
EE,ECP301,Digital Electronics & Computer Organization,LECTURE HALL,,,3,,1
EE,ECP302,Semiconductor Devices,LECTURE HALL,,,3,,1
EE,ECP303,Object Oriented Programming using C++ ,LECTURE HALL,,,3,,1
EE,ECP304,Analog Communication,LECTURE HALL,,,3,,1
EE,ECP305,Circuit Analysis and Synthesis,LECTURE HALL,,,3,,1
EE,BS301,Mathematics-III,LECTURE HALL,,,4,,1
EE,MC01/MC02,Indian Constitution/Essence of Indian Traditional Knowledge,LECTURE HALL,,,2,,1
EE,ECP351--ECP352--ECP353-1,Oops LAB--DE LAB--A.Comm LAB,LAB,PCI W/S(EE);VLSI Lab(EE);Comm2W/S(EE),,1,,2
EE,ECP351--ECP352--ECP353-2,Oops LAB--DE LAB--A.Comm LAB,LAB,PCI W/S(EE);VLSI Lab(EE);Comm2W/S(EE),,1,,2
EE,ECP351--ECP352--ECP353-3,Oops LAB--DE LAB--A.Comm LAB,LAB,PCI W/S(EE);VLSI Lab(EE);Comm2W/S(EE),,1,,2
EE,EC301,Electronics Devices,LECTURE HALL,,,3,,1
EE,EC302,Digital System Design,LECTURE HALL,,,3,,1
EE,EC304,Network Theory,LECTURE HALL,,,3,,1
EE,ESC01,Engineering Mechanics,LECTURE HALL,,,4,,1
EE,EC351--EC352--EC353-1,ED LAB--DSD LAB--NT LAB,LAB,MWR Lab(EE);EL2 W/S(EE);Embedded Lab(EE),,1,,2
EE,EC351--EC352--EC353-2,ED LAB--DSD LAB--NT LAB,LAB,MWR Lab(EE);EL2 W/S(EE);Embedded Lab(EE),,1,,2
EE,EC351--EC352--EC353-3,ED LAB--DSD LAB--NT LAB,LAB,MWR Lab(EE);EL2 W/S(EE);Embedded Lab(EE),,1,,2
EE,EEN 301,Digital Electronics,LECTURE HALL,,,3,,1
EE,ECC01,Signal and Systems,LECTURE HALL,,,3,,1
EE,EE351--EE52--EE53-1,SD LAB--DE LAB--CAS LAB,LAB,EL1 W/S(EE);EL2 W/S(EE);Embedded Lab(EE),,1,,2
EE,EE351--EE52--EE53-2,SD LAB--DE LAB--CAS LAB,LAB,EL1 W/S(EE);EL2 W/S(EE);Embedded Lab(EE),,1,,2
