section_id,subject_code,group_count,elective_section_id,,,,
MBA 1st sem A,MBA-101-V,,,,,,
MBA 1st sem A,MBA-103-V,,,,,,
MBA 1st sem A,MBA-105-V,,,,,,
MBA 1st sem A,MBA-107-V,,,,,,
MBA 1st sem A,MBA-109-V,,,,,,
MBA 1st sem A,MBA-111-V,,,,,,
MBA 1st sem A,MBA-113-V,,,,,,
MBA 1st sem A,MBA-115-V,,,,,,
MBA 1st sem A,MBA1PDC,4,,,,,
MBA 1st sem B,MBA-101-V,,,,,,
MBA 1st sem B,MBA-103-V,,,,,,
MBA 1st sem B,MBA-105-V,,,,,,
MBA 1st sem B,MBA-107-V,,,,,,
MBA 1st sem B,MBA-109-V,,,,,,
MBA 1st sem B,MBA-111-V,,,,,,
MBA 1st sem B,MBA-113-V,,,,,,
MBA 1st sem B,MBA-115-V,,,,,,
MBA 1st sem B,MBA1PDC,4,,,,,
MBA 3rd sem A (Marketing),MBA-213-V,,,,,,
MBA 3rd sem A (Marketing),MBA-214-V,,,,,,
MBA 3rd sem A (Marketing),MBA-216-V,,,,,,
MBA 3rd sem A (Marketing),MBA-219-V,,,,,,
MBA 3rd sem A(Finance),MBA-232-V,,,,,,
MBA 3rd sem A(Finance),MBA-234-V,,,,,,
MBA 3rd sem A(Finance),MBA-237-V,,,,,,
MBA 3rd sem A(Finance),MBA-238-V,,,,,,
MBA 3rd sem A (HR),MBA-222-V,,,,,,
MBA 3rd sem A (HR),MBA-223-V,,,,,,
MBA 3rd sem A (HR),MBA-225-V,,,,,,
MBA 3rd sem A (HR),MBA-227-V,,,,,,
MBA 3rd sem A ,MBA-201-V,2,,,,,
MBA 3rd sem A,MBA3PDC,2,,,,,
MBA 3rd sem B (Marketing),MBA-213-V,,,,,,
MBA 3rd sem B (Marketing),MBA-214-V,,,,,,
MBA 3rd sem B (Marketing),MBA-216-V,,,,,,
MBA 3rd sem B (Marketing),MBA-219-V,,,,,,BBA2PDC
MBA 3rd sem B (Finance),MBA-232-V,,,,,,
MBA 3rd sem B (Finance),MBA-234-V,,,,,,
MBA 3rd sem B (Finance),MBA-237-V,,,,,,
MBA 3rd sem B (Finance),MBA-238-V,,,,,,
MBA 3rd sem B (HR),MBA-222-V,,,,,,
MBA 3rd sem B (HR),MBA-223-V,,,,,,
MBA 3rd sem B (HR),MBA-225-V,,,,,,
MBA 3rd sem B (HR),MBA-227-V,,,,,,
MBA 3rd sem B ,MBA-201-V,2,,,,,
MBA 3rd sem B ,MBA3PDC,2,,,,,
BBA 1st Sem,BBG-101-V,,,,,,
BBA 1st Sem,BBG-103-V,,,,,,
BBA 1st Sem,BBG-105-V,,,,,,
BBA 1st Sem,BBG-107-V,,,,,,
BBA 1st Sem,BBG-109-V,4,,,,,
BBA 1st Sem,MTU-115-V,,,,,,
BBA 1st Sem,AEC-105-V,,,,,,
BBA 1st Sem,ESU-201-V,,,,,,
BBA 3rd sem,BBG-201-V,,,,,,
BBA 3rd sem,BBG-203-V,,,,,,
BBA 3rd sem,BBG-205-V,,,,,,
BBA 3rd sem,BBG-209-V,,,,,,
BBA 3rd sem,BBG-211-V,,,,,,
BBA 3rd sem,BBG-213-V,,,,,,
BBA 3rd sem,AEC-102-V,,,,,,
BBA 3rd sem,BBA3PDC,2,,,,,
BBA 5th Sem,BBG-301-V,,,,,,
BBA 5th Sem,BBG-303-V,,,,,,
BBA 5th Sem,BBG-305-V,,,,,,
BBA 5th Sem,BBG-307-V,,,,,,
BBA 5th Sem,BBA5PDC,2,,,,,
