section_id,program_name,department_code,section_strength
MBA 1st sem A,MBA,MS,72
MBA 1st sem A G1,MBA,MS,36
MBA 1st sem A G2,MBA,MS,36
MBA 1st sem B,MBA,MS,72
MBA 1st sem B G1,MBA,MS,36
MBA 1st sem B G2,MBA,MS,36
MBA 3rd sem A G1,MBA,MS,39
MBA 3rd sem A G2,MBA,MS,38
MBA 3rd sem A (Marketing),MBA,MS,45 + (APPROX ) (DATA YET TO BE RECEIVED)
MBA 3rd sem A(Finance),MBA,MS,45 + (APPROX ) (DATA YET TO BE RECEIVED)
MBA 3rd sem A (HR),MBA,MS,45 + (APPROX ) (DATA YET TO BE RECEIVED)
MBA 3rd sem B G1,MBA,MS,36
MBA 3rd sem B G2,MBA,MS,36
MBA 3rd sem B (Marketing),MBA,MS,45 + (APPROX ) (DATA YET TO BE RECEIVED)
MBA 3rd sem B (Finance),MBA,MS,45 + (APPROX ) (DATA YET TO BE RECEIVED)
MBA 3rd sem B (HR),MBA,MS,45 + (APPROX ) (DATA YET TO BE RECEIVED)
BBA 1st Sem G1,BBA,MS,18
BBA 1st Sem G2,BBA,MS,18
BBA 1st Sem G3,BBA,MS,18
BBA 1st Sem G4,BBA,MS,18
BBA 3rd sem,BBA,MS,68
BBA 3rd sem G1,BBA,MS,34
BBA 3rd sem G2,BBA,MS,34
BBA 5th Sem,BBA,MS,64
BBA 5th Sem G1,BBA,MS,32
BBA 5th Sem G2,BBA,MS,32
