section_id,subject_code,Teacher_id,is_shared_lab,second_teacher_id
MBA 1st sem A,MBA-101-V,MS07,,
MBA 1st sem A,MBA-103-V,MS20,,
MBA 1st sem A,MBA-105-V,MS13,,
MBA 1st sem A,MBA-107-V,MS13,,
MBA 1st sem A,MBA-109-V,MS23,,
MBA 1st sem A,MBA-111-V,MS21,,
MBA 1st sem A,MBA-113-V,MS08,,
MBA 1st sem A,MBA-115-V,MS10,YES,MS13
MBA 1st sem A G1,MBA1PDC,MS13,YES,MS10
MBA 1st sem A G2,MBA1PDC,MS13,YES,MS10
MBA 1st sem B,MBA-101-V,MS11,,
MBA 1st sem B,MBA-103-V,MS10,,
MBA 1st sem B,MBA-105-V,MS13,,
MBA 1st sem B,MBA-107-V,MS14,,
MBA 1st sem B,MBA-109-V,MS23,,
MBA 1st sem B,MBA-111-V,MS14,,
MBA 1st sem B,MBA-113-V,MS12,,
MBA 1st sem B,MBA-115-V,MS11,YES,MS12
MBA 1st sem B G1,MBA1PDC,MS07,YES,MS03
MBA 1st sem B G2,MBA1PDC,MS07,YES,MS03
MBA 3rd sem A (Marketing),MBA-213-V,MS04,,
MBA 3rd sem A (Marketing),MBA-214-V,MS02,,
MBA 3rd sem A (Marketing),MBA-216-V,MS06,,
MBA 3rd sem A (Marketing),MBA-219-V,MS01,,
MBA 3rd sem A G1,MBA-201-V,MS05,YES,MS03
MBA 3rd sem A G2,MBA-201-V,MS05,YES,MS03
MBA 3rd sem A G1 ,MBA3PDC,MS06,YES,MS01
MBA 3rd sem A G2,MBA3PDC,MS06,YES,MS04
MBA 3rd sem A(Finance),MBA-232-V,MS08,,
MBA 3rd sem A(Finance),MBA-234-V,MS03,,
MBA 3rd sem A(Finance),MBA-237-V,MS09,,
MBA 3rd sem A(Finance),MBA-238-V,MS05,,
MBA 3rd sem A (HR),MBA-222-V,MS11,,
MBA 3rd sem A (HR),MBA-223-V,MS15,,
MBA 3rd sem A (HR),MBA-225-V,MS07,,
MBA 3rd sem A (HR),MBA-227-V,MS12,,
MBA 3rd sem B (Marketing),MBA-213-V,MS04,,
MBA 3rd sem B (Marketing),MBA-214-V,MS02,,
MBA 3rd sem B (Marketing),MBA-216-V,MS06,,
MBA 3rd sem B (Marketing),MBA-219-V,MS01,,
MBA 3rd sem B G1,MBA-201-V,MS04,YES,MS02
MBA 3rd sem B G2,MBA-201-V,MS04,YES,MS02
MBA 3rd sem B G3,MBA-201-V,MS04,YES,MS02
MBA 3rd sem B G4,MBA-201-V,MS04,YES,MS02
MBA 3rd sem B G1 and G2,MBA3PDC,MS12,YES,MS02
MBA 3rd sem B G3 anf G4,MBA3PDC,MS12,YES,MS02
MBA 3rd sem B (Finance),MBA-232-V,MS08,,
MBA 3rd sem B (Finance),MBA-234-V,MS02,,
MBA 3rd sem B (Finance),MBA-237-V,MS09,,
MBA 3rd sem B (Finance),MBA-238-V,MS05,,
MBA 3rd sem B (HR),MBA-222-V,MS11,,
MBA 3rd sem B (HR),MBA-223-V,MS15,,
MBA 3rd sem B (HR),MBA-225-V,MS07,,
MBA 3rd sem B (HR),MBA-227-V,MS12,,
BBA 1st Sem,BBG-101-V,MS15,,
BBA 1st Sem,BBG-103-V,MS10,,
BBA 1st Sem,BBG-105-V,MS19,,
BBA 1st Sem,BBG-107-V,MS19,,
BBA 1st Sem G1,BBG-109-V,MS06,YES,MS08
BBA 1st Sem G2,BBG-109-V,MS01,YES,MS07
BBA 1st Sem G3,BBG-109-V,MS01,YES,MS09
BBA 1st Sem G4,BBG-109-V,MS01,YES,MS04
BBA 1st Sem,MTU-115-V,MATH16,,
BBA 1st Sem,AEC-105-V,LL13,,
BBA 1st Sem,ESU-201-V,ES10,,
BBA 3rd sem,BBG-201-V,MS06,,
BBA 3rd sem,BBG-203-V,MS24,,
BBA 3rd sem,BBG-205-V,MS09,,
BBA 3rd sem,BBG-209-V,MS15,,
BBA 3rd sem,BBG-211-V,CSE51,,
BBA 3rd sem,BBG-213-V,MS20,,
BBA 3rd sem,AEC-102-V,LL13,,
BBA 3rd sem G1,BBA3PDC,MS08,,MS11
BBA 3rd sem G2,BBA3PDC,MS08,,MS11
BBA 5th Sem,BBG-301-V,MS14,,
BBA 5th Sem,BBG-303-V,MS10,,
BBA 5th Sem,BBG-305-V,MS14,,
BBA 5th Sem,BBG-307-V,MS24,,
BBA 5th Sem G1,BBA5PDC,MS09,yes,MS05
BBA 5th Sem G2,BBA5PDC,MS09,yes,MS05
