section_id,program_name,department_code,student_strength
CE31 3rd Sem,BTech,CS,70
CE32 3rd Sem,BTech,CS,70
CE Hindi 3rd Sem,BTech,CS,35
IT 3rd Sem,BTech,CS,70
CE Datascience 3rd Sem,BTech,CS,70
CE51 5th Sem,BTech,CS,70
CE52 5th Sem,BTech,CS,70
IT 5th Sem,BTech,CS,70
CE Datascience 5th Sem,BTech,CS,70
CE Hindi 5th Sem,BTech,CS,35
CE71 7th Sem,BTech,CS,70
CE72 7th Sem,BTech,CS,70
CE Hindi 7th Sem,BTech,CS,35
IT 7th Sem,BTech,CS,70
CE-DS 7th Sem,BTech,CS,70
MTech 1st Sem,MTech,CS,35
MTech 3rd Sem,MTech,CS,35
CE11 1st Sem,BTech,CS,70
CE12 1st Sem,BTech,CS,70
IT 1st Sem,BTech,CS,70
CE DS 1st Sem,BTech,CS,70
CE Hindi 1st Sem,BTech,CS,35
BCA 1st Sem,BCA,CS,70
BCA 3rd Sem,BCA,CS,70
BCA 5th Sem,BCA,CS,70
MCA 1st Sem,MCA,CS,35
MCA 1st Bridge,MCA,CS,35
MCA 3rd Sem,MCA,CS,35
BSc AM 1st Sem,BSc,CS,35
BSc AM 3rd Sem,BSc,CS,35
BSc AM 5th Sem,BSc,CS,35
MSc AM 1st Sem,MSc,CS,35
MSc AM 3rd Sem,MSc,CS,35
