r_number,department_code,seating_capacity,room_type,lab_category
LT01,CS,70,Lecture Hall,
LT02,CS,70,Lecture Hall,
LT03,CS,70,Lecture Hall,
CT02,CS,70,Lecture Hall,
CT03,CS,70,Lecture Hall,
IT-01,CS,70,Lecture Hall,
IT-02,CS,70,Lecture Hall,
CC01,CS,35,Lab,General
CC02,CS,35,Lab,General
CC03,CS,35,Lab,General
CC04,CS,35,Lab,General
S7,CS,35,Lab,Electronics Lab
S8,CS,35,Lab,Electronics Lab
S9,CS,35,Lab,Electrical Lab
S13,CS,35,Lab,Electrical Lab
chem-lab-1,CS,35,Lab,Chemistry Lab
chem-lab-2,CS,35,Lab,Chemistry Lab
Eng-lab-1,CS,35,Lab,English Lab
Eng-lab-2,CS,35,Lab,English Lab
Mech-work,CS,35,Lab,Mechanical Workshop
