section_id,subject_number
CE11 1st Sem,CS215
CE11 1st Sem,CS216
CE11 1st Sem,CS217
CE11 1st Sem,CS218
CE11 1st Sem,CS219
CE11 1st Sem,CS220
CE11 1st Sem,CS221
CE11 1st Sem,CS222
CE31 3rd Sem,CS001
CE31 3rd Sem,CS002
CE31 3rd Sem,CS016
CE31 3rd Sem,CS017
CE31 3rd Sem,CS018
CE31 3rd Sem,CS019
CE31 3rd Sem,CS020
CE31 3rd Sem,CS025
CE31 3rd Sem,CS998
BCA 1st Sem,CA025
BCA 1st Sem,CA026
BCA 1st Sem,CA027
BCA 1st Sem,CA028
BCA 1st Sem,CA029
BCA 1st Sem,CA030
BCA 1st Sem,CA031
BCA 1st Sem,CA038
BCA 1st Sem,CA039
BCA 1st Sem,CA042
MCA 1st Sem,CA001
MCA 1st Sem,CA002
MCA 1st Sem,CA003
MCA 1st Sem,CA004
MCA 1st Sem,CA005
MCA 1st Sem,CA006
MCA 1st Sem,CA007
MCA 1st Sem,CA008
MCA 1st Sem,CA009
MCA 1st Sem,CA043
MCA 1st Sem,CA044
