section_id,subject_number,instructor_uid,shared_lab,second_instructor_uid
CE11 1st Sem,CS215,T070,false,
CE11 1st Sem,CS216,T054,false,
CE11 1st Sem,CS217,T069,false,
CE11 1st Sem,CS218,T068,false,
CE11 1st Sem,CS219,T062,false,
CE11 1st Sem,CS220,T057,false,
CE11 1st Sem,CS221,T061,false,
CE11 1st Sem,CS222,T093,false,
CE31 3rd Sem,CS001,T033,false,
CE31 3rd Sem,CS002,T040,false,
CE31 3rd Sem,CS016,T004,false,
CE31 3rd Sem,CS017,T008,false,
CE31 3rd Sem,CS018,T018,false,
CE31 3rd Sem,CS019,T037,false,
CE31 3rd Sem,CS020,T007,false,
CE31 3rd Sem,CS025,T022,false,
CE31 3rd Sem,CS998,T028;T052,false,
BCA 1st Sem,CA025,T086,false,
BCA 1st Sem,CA026,T077,false,
BCA 1st Sem,CA027,T082,false,
BCA 1st Sem,CA028,T086,false,
BCA 1st Sem,CA029,GF913,false,
BCA 1st Sem,CA030,T020,false,
BCA 1st Sem,CA031,T080,false,
BCA 1st Sem,CA038,T080,false,
BCA 1st Sem,CA039,T094,false,
BCA 1st Sem,CA042,T081,false,
MCA 1st Sem,CA001,T071,false,
MCA 1st Sem,CA002,T071,false,
MCA 1st Sem,CA003,GF910,false,
MCA 1st Sem,CA004,T075,false,
MCA 1st Sem,CA005,T074,false,
MCA 1st Sem,CA006,T074,false,
MCA 1st Sem,CA007,T083,false,
MCA 1st Sem,CA008,T077,false,
MCA 1st Sem,CA009,T077,false,
MCA 1st Sem,CA043,T086,false,
MCA 1st Sem,CA044,T080,false,
