record_type,section_id,move_type,subject_text,teacher_uid,second_teacher_uid,co_teacher_uids,room_number,day,start_slot,duration,manual_entry,manual_slot_uid,prefill_locked,batch,total_batches,parking,slot_span
section,MBA 1st sem A,,,,,,,,,,,,,,,,
section,MBA 1st sem B,,,,,,,,,,,,,,,,
section,MBA 3rd sem A,,,,,,,,,,,,,,,,
section,MBA 3rd sem B,,,,,,,,,,,,,,,,
section,BBA 1st Sem,,,,,,,,,,,,,,,,
section,BBA 3rd sem,,,,,,,,,,,,,,,,
section,BBA 5th Sem,,,,,,,,,,,,,,,,
slot,MBA 1st sem A,class,Moral Values,MS10,,MS11,203,Monday,1,1,false,mba1a-moral-values-1,true,,,false,1
slot,MBA 1st sem A,class,Personality Development Classes,MS10,,MS11,203,Tuesday,1,1,false,mba1a-pdc-1-g1,true,,,false,1
slot,MBA 1st sem A,class,Personality Development Classes,MS12,,MS13,204,Tuesday,1,1,false,mba1a-pdc-1-g2,true,,,false,1
slot,MBA 1st sem A,class,Personality Development Classes,MS10,,MS11,203,Wednesday,1,1,false,mba1a-pdc-2-g1,true,,,false,1
slot,MBA 1st sem A,class,Personality Development Classes,MS12,,MS13,204,Wednesday,1,1,false,mba1a-pdc-2-g2,true,,,false,1
slot,MBA 1st sem B,class,Moral Values,MS13,,MS12,204,Monday,2,1,false,mba1b-moral-values-1,true,,,false,1
slot,MBA 1st sem B,class,Personality Development Classes,MS10,,MS11,203,Tuesday,2,1,false,mba1b-pdc-1-g1,true,,,false,1
slot,MBA 1st sem B,class,Personality Development Classes,MS12,,MS13,204,Tuesday,2,1,false,mba1b-pdc-1-g2,true,,,false,1
slot,MBA 1st sem B,class,Personality Development Classes,MS10,,MS11,203,Wednesday,2,1,false,mba1b-pdc-2-g1,true,,,false,1
slot,MBA 1st sem B,class,Personality Development Classes,MS12,,MS13,204,Wednesday,2,1,false,mba1b-pdc-2-g2,true,,,false,1
slot,MBA 3rd sem A,class,Mangerial Skills Development,MS02,,MS05,201,Monday,1,1,false,mba3a-msd-1-g1,true,,,false,1
slot,MBA 3rd sem A,class,Mangerial Skills Development,MS03,,MS04,202,Monday,1,1,false,mba3a-msd-1-g2,true,,,false,1
slot,MBA 3rd sem A,class,Mangerial Skills Development,MS02,,MS05,201,Tuesday,1,1,false,mba3a-msd-2-g1,true,,,false,1
slot,MBA 3rd sem A,class,Mangerial Skills Development,MS03,,MS04,202,Tuesday,1,1,false,mba3a-msd-2-g2,true,,,false,1
slot,MBA 3rd sem A,class,Personality Development Classes,MS02,,MS05,201,Wednesday,1,1,false,mba3a-pdc-1-g1,true,,,false,1
slot,MBA 3rd sem A,class,Personality Development Classes,MS03,,MS04,202,Wednesday,1,1,false,mba3a-pdc-1-g2,true,,,false,1
slot,MBA 3rd sem A,class,Personality Development Classes,MS02,,MS05,201,Thursday,1,1,false,mba3a-pdc-2-g1,true,,,false,1
slot,MBA 3rd sem A,class,Personality Development Classes,MS03,,MS04,202,Thursday,1,1,false,mba3a-pdc-2-g2,true,,,false,1
slot,MBA 3rd sem B,class,Mangerial Skills Development,MS02,,MS05,201,Monday,2,1,false,mba3b-msd-1-g1,true,,,false,1
slot,MBA 3rd sem B,class,Mangerial Skills Development,MS03,,MS04,202,Monday,2,1,false,mba3b-msd-1-g2,true,,,false,1
slot,MBA 3rd sem B,class,Mangerial Skills Development,MS02,,MS05,201,Tuesday,2,1,false,mba3b-msd-2-g1,true,,,false,1
slot,MBA 3rd sem B,class,Mangerial Skills Development,MS03,,MS04,202,Tuesday,2,1,false,mba3b-msd-2-g2,true,,,false,1
